subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,start_x_px,start_y_px,end_x_px,end_y_px,amp_deg,amp_px
e159023,0,,784689,784905,784947,216,13,43,631.9,372.9,799.2,427.5,5.18,175.98423224823304
e159023,0,,784689,785147,785153,458,28,7,796.8,432.5,800.3,440.8,0.28,9.007774419910847
e159023,0,,784689,786488,786526,1799,108,39,820.7,451.6,819.9,451.5,0.02,0.8062257748299255
e159023,0,,784689,786616,786636,1927,116,21,819.1,454.1,823.3,447.5,0.24,7.823042886243162
e159023,0,,784689,786787,786821,2098,126,35,822.1,445.0,821.3,450.0,0.16,5.063595560468876
e159023,0,,784689,786874,786895,2185,131,22,818.4,453.4,819.6,452.9,0.04,1.300000000000042
e159023,0,,784689,786964,786987,2275,137,24,822.5,453.1,804.8,460.1,0.56,19.033917095542936
e159023,0,,784689,787152,787177,2463,148,26,809.4,475.1,813.0,464.4,0.35,11.28937553631737
e159023,0,,784689,787288,787332,2599,156,45,810.5,474.4,817.5,474.3,0.2,7.000714249274854
e159023,0,,784689,787366,787426,2677,161,61,820.7,468.2,819.8,470.9,0.09,2.8460498941515593
e159023,0,,784689,787560,787576,2871,173,17,815.6,479.6,816.5,473.5,0.19,6.166036003787218
e159023,0,,784689,787673,787680,2984,179,8,825.2,463.9,816.6,479.8,0.56,18.07678068683695
e159023,0,,784689,788085,788107,3396,204,23,816.4,489.6,875.9,518.9,1.94,66.32299751971406
e159023,0,,784689,788381,788435,3692,222,55,888.7,526.1,644.0,347.0,9.05,303.2406635001316
e159023,0,,784689,788706,788744,4017,241,39,697.3,360.1,579.3,336.3,3.54,120.37624350344215
e159023,0,,784689,788959,789014,4270,256,56,576.9,324.9,285.0,518.7,10.36,350.3770112321869
e159023,0,,784689,790036,790077,5347,321,42,279.8,527.1,303.8,654.8,3.92,129.93571487470248
e159023,0,,784689,791126,791132,6437,386,7,325.1,627.3,322.7,618.0,0.29,9.604686356149237
e159023,0,,784689,791330,791339,6641,399,10,339.6,611.8,319.6,613.8,0.56,20.09975124224178
e159023,0,,784689,792346,792384,7657,459,39,342.1,610.6,199.3,577.3,4.09,146.63127224436133
e159023,0,,784689,792638,792650,7949,477,13,199.3,576.4,168.9,577.7,0.83,30.427783356662715
e159023,0,,784689,793199,793210,8510,511,12,254.8,584.8,280.1,587.7,0.71,25.465663156493708
e159023,0,,784689,793501,793513,8812,529,13,338.4,587.8,368.8,583.5,0.87,30.70260575260676
e159023,0,,784689,793745,793943,9056,543,199,383.0,595.7,351.4,703.8,3.36,112.6240205284822
e159023,0,,784689,796116,796150,11427,685,35,341.2,639.8,210.1,599.2,3.83,137.24274115595327
e159023,0,,784689,796356,796369,11667,700,14,270.2,576.5,285.3,561.9,0.61,21.00404722904615
e159023,0,,784689,796661,796674,11972,718,14,339.8,585.8,328.8,611.2,0.83,27.6795953727652
e159023,0,,784689,798471,798503,13782,827,33,366.7,676.9,272.9,605.3,3.38,118.0042372120595
e159023,0,,784689,798733,798946,14044,842,214,320.0,569.5,374.0,620.7,2.17,74.41397718170965
e159023,0,,784689,799766,799774,15077,904,9,364.4,635.6,350.3,645.7,0.5,17.344163283364217
e159023,0,,784689,801344,801365,16655,999,22,365.4,696.9,362.1,701.7,0.17,5.82494635168431
e159023,0,,784689,801396,801416,16707,1002,21,360.2,697.4,362.0,699.7,0.08,2.9206163733021073
e159023,0,,784689,801505,801526,16816,1008,22,359.2,701.5,339.7,698.9,0.55,19.672569735548027
e159023,0,,784689,802489,802527,17800,1067,39,337.2,661.0,154.6,581.6,5.56,199.11584567783646
e159023,0,,784689,802922,802961,18233,1093,40,163.9,524.5,333.1,615.7,5.44,192.21363115034276
e159023,0,,784689,803902,804116,19213,1152,215,296.1,643.0,277.1,596.8,1.48,49.95437918741463
e159023,0,,784689,804378,804413,19689,1181,36,288.9,519.9,324.0,408.2,3.61,117.08501185036452
e159023,0,,784689,804601,804612,19912,1194,12,341.2,339.7,337.2,319.0,0.67,21.08293148497143
e159023,0,,784689,805412,805462,20723,1243,51,333.6,324.7,238.0,533.3,7.03,229.46311250394908
e159023,0,,784689,805792,805833,21103,1265,42,246.6,530.8,361.9,355.3,6.37,209.98652337709672
e159023,0,,784689,805984,806001,21295,1277,18,402.2,364.6,438.5,333.9,1.44,47.54135042255324
e159023,0,,784689,806357,806369,21668,1299,13,556.9,335.6,583.8,337.7,0.79,26.981845748576923
e159023,0,,784689,806653,806908,21964,1317,256,633.2,331.1,809.3,364.0,5.26,179.1469229431529
