subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,start_x_px,start_y_px,end_x_px,end_y_px,amp_deg,amp_px
e159049,0,,1226054,1226288,1226323,234,15,36,648.3,351.5,518.0,312.2,4.02,136.097685505669
e159049,0,,1226054,1226616,1226625,562,34,10,519.0,312.9,501.3,313.0,0.52,17.700282483621542
e159049,0,,1226054,1226836,1226888,782,47,53,509.0,309.0,908.0,316.4,11.6,399.06861565400004
e159049,0,,1226054,1227205,1227267,1151,69,63,906.8,313.7,570.5,228.2,10.18,346.99847261911685
e159049,0,,1226054,1227702,1227712,1648,99,11,552.2,227.0,532.6,231.5,0.59,20.1099477871028
e159049,0,,1226054,1228102,1228156,2048,123,55,534.0,230.3,921.5,290.3,11.44,392.117648161875
e159049,0,,1226054,1228583,1228639,2529,152,57,908.8,285.3,600.8,282.4,8.98,308.0136522948293
e159049,0,,1226054,1229077,1229315,3023,182,239,581.8,285.3,501.6,336.9,2.88,95.36561225095755
e159049,0,,1226054,1229596,1229658,3542,213,63,490.9,299.7,132.4,189.4,10.77,375.08444382565375
e159049,0,,1226054,1230107,1230124,4053,243,18,264.0,175.6,306.9,179.2,1.23,43.05078396498719
e159049,0,,1226054,1230622,1230633,4568,274,12,472.3,172.1,488.5,188.9,0.72,23.33838040653207
e159049,0,,1226054,1231168,1231188,5114,307,21,588.1,188.4,562.1,172.6,0.92,30.424332367366755
e159049,0,,1226054,1231823,1231837,5769,346,15,647.5,163.9,618.3,172.8,0.91,30.526218239408607
e159049,0,,1226054,1232172,1232181,6118,367,10,625.2,173.1,609.2,170.9,0.48,16.150541786577936
e159049,0,,1226054,1232685,1232697,6631,398,13,550.3,166.1,525.0,176.5,0.82,27.35415873317982
e159049,0,,1226054,1233442,1233476,7388,443,35,508.7,175.6,511.4,287.5,3.6,111.93256898686816
e159049,0,,1226054,1233724,1233761,7670,460,38,516.6,278.6,523.8,144.9,4.31,133.89372651472513
e159049,0,,1226054,1233999,1234008,7945,477,10,537.4,150.5,533.5,167.3,0.55,17.246738822165778
e159049,0,,1226054,1234420,1234466,8366,502,47,575.6,173.2,562.9,282.8,3.56,110.33335850956412
e159049,0,,1226054,1235367,1235375,9313,559,9,568.7,284.4,552.6,287.0,0.48,16.308586695357782
e159049,0,,1226054,1236006,1236011,9952,597,6,545.4,278.2,536.6,279.9,0.26,8.962700485902625
e159049,0,,1226054,1236726,1236933,10672,640,208,542.8,273.9,553.6,177.9,3.12,96.6055899003779
e159049,0,,1226054,1237069,1237080,11015,661,12,554.6,195.1,576.5,189.2,0.67,22.680828909014746
e159049,0,,1226054,1237855,1237888,11801,708,34,581.0,184.4,542.3,291.7,3.64,114.06568283230501
e159049,0,,1226054,1238206,1238244,12152,729,39,554.0,281.4,618.4,415.7,4.69,148.9424385459027
