subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,start_x_px,start_y_px,end_x_px,end_y_px,amp_deg,amp_px
e159057,0,,717472,717623,717665,151,10,43,641.7,348.6,504.9,293.5,4.38,147.4796596144703
e159057,0,,717472,717849,717866,377,23,18,490.7,290.2,495.8,323.9,1.09,34.08372045419924
e159057,0,,717472,718060,718346,588,36,287,498.0,326.0,279.6,299.5,6.36,220.0018409013888
e159057,0,,717472,718472,718508,1000,60,37,282.9,296.3,242.4,348.2,2.0,65.83205905939747
e159057,0,,717472,718674,718754,1202,73,81,239.1,353.3,806.5,525.1,17.01,592.8389325946804
e159057,0,,717472,718948,719016,1476,89,69,793.8,525.3,1263.9,423.7,13.34,480.9538127512871
e159057,0,,717472,719212,719236,1740,105,25,1271.1,416.6,1207.5,385.3,1.95,70.88476564114457
e159057,0,,717472,720439,720499,2967,178,61,1201.7,402.1,891.5,433.2,8.69,311.7551122275303
e159057,0,,717472,720639,720711,3167,190,73,871.3,433.0,363.4,453.4,14.59,508.30952184667956
e159057,0,,717472,720814,720859,3342,201,46,373.2,450.8,102.4,277.8,9.31,321.34349223222176
e159057,0,,717472,720983,721027,3511,211,45,124.9,271.1,103.4,177.9,2.96,95.64773912644252
e159057,0,,717472,721319,721334,3847,231,16,202.9,167.2,216.4,189.5,0.8,26.067988031300008
e159057,0,,717472,722504,722558,5032,302,55,567.7,175.3,578.5,468.4,9.37,293.29890896489877
e159057,0,,717472,722888,722931,5416,325,44,601.7,468.1,675.6,516.5,2.63,88.33894950699829
e159057,0,,717472,723064,723122,5592,336,59,681.7,522.5,637.8,366.8,5.08,161.77051647318186
e159057,0,,717472,723499,723609,6027,362,111,652.3,369.6,523.0,320.0,4.11,138.48700300028156
e159057,0,,717472,724555,724578,7083,425,24,505.4,314.9,452.4,320.7,1.56,53.31641398293775
e159057,0,,717472,725118,725140,7646,459,23,460.6,311.7,469.8,262.7,1.6,49.85619319603132
e159057,0,,717472,725694,725737,8222,493,44,523.0,270.4,577.7,178.1,3.38,107.29109935125095
e159057,0,,717472,725912,725930,8440,506,19,590.9,167.1,587.2,184.3,0.57,17.593464695732905
e159057,0,,717472,726289,726334,8817,529,46,595.8,181.2,582.1,261.7,2.63,81.65745526282336
e159057,0,,717472,727000,727020,9528,572,21,558.0,271.3,542.4,304.1,1.15,36.32079294288606
e159057,0,,717472,727392,727415,9920,595,24,546.2,292.9,529.8,257.9,1.23,38.65177874302815
e159057,0,,717472,727650,727693,10178,611,44,531.6,261.6,559.2,186.4,2.56,80.10493118404138
e159057,0,,717472,728502,728537,11030,662,36,591.7,173.0,567.7,272.6,3.29,102.4507686647592
e159057,0,,717472,728987,729030,11515,691,44,570.3,268.1,603.7,181.2,2.98,93.09763691952665
e159057,0,,717472,729710,729751,12238,734,42,594.7,172.7,562.7,249.1,2.64,82.83091210411727
e159057,0,,717472,730557,730608,13085,785,52,551.2,261.7,628.0,546.7,9.29,295.1664615094337
e159057,0,,717472,730780,730799,13308,798,20,621.5,560.2,644.1,528.2,1.19,39.17601306922389
e159057,0,,717472,730925,731194,13453,807,270,632.8,541.0,568.6,247.8,9.47,300.1464309299712
e159057,0,,717472,731292,731309,13820,829,18,563.4,278.7,554.8,261.5,0.61,19.23018460649819
e159057,0,,717472,732574,732591,15102,906,18,548.8,260.8,540.7,264.4,0.27,8.863972021616396
