subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,x_px,y_px
e159081,0,,4020877,4020848,4020929,-29,-1,82,632.3,340.0
e159081,0,,4020877,4020962,4021126,85,6,165,725.1,335.5
e159081,0,,4020877,4021170,4021295,293,18,126,539.9,313.2
e159081,0,,4020877,4021535,4021692,658,40,158,810.3,511.8
e159081,0,,4020877,4021733,4022181,856,52,449,912.1,328.4
e159081,0,,4020877,4022249,4022394,1372,83,146,924.8,940.1
e159081,0,,4020877,4022489,4022723,1612,97,235,1752.1,391.9
e159081,0,,4020877,4022788,4022953,1911,115,166,2509.3,461.6
e159081,0,,4020877,4023204,4023327,2327,140,124,738.0,315.1
e159081,0,,4020877,4023359,4023509,2482,149,151,865.4,304.6
e159081,0,,4020877,4023558,4023776,2681,161,219,556.9,314.2
e159081,0,,4020877,4023799,4024228,2922,176,430,514.7,326.0
e159081,0,,4020877,4024293,4024450,3416,205,158,133.3,258.7
e159081,0,,4020877,4024478,4024689,3601,216,212,173.0,173.8
e159081,0,,4020877,4024909,4025131,4032,242,223,332.1,211.6
e159081,0,,4020877,4025391,4025735,4514,271,345,481.4,247.7
e159081,0,,4020877,4025778,4026119,4901,294,342,630.8,398.7
e159081,0,,4020877,4026374,4026748,5497,330,375,642.4,328.5
e159081,0,,4020877,4026784,4027080,5907,355,297,616.6,188.4
e159081,0,,4020877,4027115,4027305,6238,374,191,552.4,264.9
e159081,0,,4020877,4027323,4027915,6446,387,593,518.1,290.9
e159081,0,,4020877,4027935,4028179,7058,424,245,479.6,316.3
e159081,0,,4020877,4028388,4029427,7511,451,1040,550.0,189.3
e159081,0,,4020877,4029436,4029694,8559,514,259,590.0,195.1
e159081,0,,4020877,4029724,4029905,8847,531,182,575.7,274.7
e159081,0,,4020877,4030120,4030683,9243,555,564,570.9,208.0
e159081,0,,4020877,4030919,4031280,10042,602,362,545.4,221.0
e159081,0,,4020877,4031312,4031732,10435,626,421,534.3,285.3
e159081,0,,4020877,4031971,4032086,11094,665,116,582.2,266.3
e159081,0,,4020877,4032095,4032476,11218,673,382,584.9,197.8
e159081,0,,4020877,4032506,4033105,11629,698,600,552.7,274.6
e159081,0,,4020877,4033138,4034046,12261,735,909,582.0,188.1
e159081,0,,4020877,4034054,4034919,13177,790,866,583.5,190.7
e159081,0,,4020877,4034944,4035294,14067,844,351,539.3,257.7
e159081,0,,4020877,4035532,4035813,14655,879,282,545.6,310.3
e159081,0,,4020877,4035823,4036803,14946,896,981,533.3,293.3
e159081,0,,4020877,4036833,4037037,15956,957,205,568.2,195.5
e159081,0,,4020877,4037044,4038114,16167,970,1071,568.2,203.1
e159081,0,,4020877,4038144,4038340,17267,1035,197,579.2,342.3
e159081,0,,4020877,4038364,4038492,17487,1049,129,607.5,391.3
e159081,0,,4020877,4038732,4038886,17855,1071,155,588.7,248.7
e159081,0,,4020877,4038906,4039546,18029,1081,641,571.6,194.5
e159081,0,,4020877,4039580,4039832,18703,1122,253,543.9,291.3
e159081,0,,4020877,4039847,4040045,18970,1138,199,554.1,268.5
e159081,0,,4020877,4040071,4040403,19194,1151,333,579.2,197.2
e159081,0,,4020877,4040643,4041406,19766,1185,764,593.9,211.6
e159081,0,,4020877,4041443,4041509,20566,1233,67,586.2,339.4
e159081,0,,4020877,4041533,4042082,20656,1239,550,620.8,378.8
e159081,0,,4020877,4042135,4042210,21258,1275,76,872.0,321.8
e159081,0,,4020877,4042510,4042589,21633,1297,80,570.7,250.6
e159081,0,,4020877,4042600,4043456,21723,1303,857,594.7,213.7
e159081,0,,4020877,4043465,4043761,22588,1354,297,580.5,223.4
e159081,0,,4020877,4043801,4044020,22924,1375,220,505.0,326.5
e159081,0,,4020877,4044055,4044624,23178,1390,570,552.2,204.2
e159081,0,,4020877,4044682,4044833,23805,1427,152,216.9,364.0
e159081,0,,4020877,4044864,4045183,23987,1438,320,123.7,369.9
e159081,0,,4020877,4045222,4045478,24345,1460,257,44.5,607.1
e159081,0,,4020877,4045518,4045768,24641,1477,251,251.8,455.9
e159081,0,,4020877,4045790,4046021,24913,1494,232,302.2,394.4
e159081,0,,4020877,4046038,4046178,25161,1509,141,314.0,352.9
e159081,0,,4020877,4046223,4046379,25346,1520,157,516.5,172.6
e159081,0,,4020877,4046393,4046551,25516,1530,159,540.4,182.0
e159081,0,,4020877,4046775,4047924,25898,1553,1150,539.5,207.3
