subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,x_px,y_px
e159017,0,,5083458,5083429,5083673,-29,-1,245,628.6,364.3
e159017,0,,5083458,5083706,5084004,248,15,299,513.1,334.4
e159017,0,,5083458,5084060,5084356,602,37,297,203.1,367.3
e159017,0,,5083458,5084408,5084690,950,57,283,570.8,332.7
e159017,0,,5083458,5084744,5085244,1286,78,501,914.4,353.9
e159017,0,,5083458,5085286,5085514,1828,110,229,1053.8,298.8
e159017,0,,5083458,5085543,5085794,2085,125,252,1178.5,313.4
e159017,0,,5083458,5085833,5086185,2375,143,353,1244.1,182.8
e159017,0,,5083458,5086233,5086605,2775,167,373,1184.5,410.9
e159017,0,,5083458,5086676,5086829,3218,193,154,514.2,433.8
e159017,0,,5083458,5086892,5087094,3434,206,203,120.6,269.3
e159017,0,,5083458,5087118,5088463,3660,220,1346,396.4,210.4
e159017,0,,5083458,5088479,5089229,5021,301,751,626.8,188.3
e159017,0,,5083458,5089313,5089601,5855,351,289,653.7,180.3
e159017,0,,5083458,5089614,5091002,6156,369,1389,558.6,190.6
e159017,0,,5083458,5091088,5091367,7630,458,280,552.5,177.7
e159017,0,,5083458,5091382,5092697,7924,475,1316,605.3,189.0
e159017,0,,5083458,5092835,5092883,9377,563,49,597.9,203.4
e159017,0,,5083458,5093017,5094009,9559,573,993,576.2,201.0
e159017,0,,5083458,5094030,5094867,10572,634,838,600.4,243.3
e159017,0,,5083458,5094878,5095212,11420,685,335,614.6,238.2
e159017,0,,5083458,5095241,5096007,11783,707,767,550.0,291.2
e159017,0,,5083458,5096019,5097451,12561,753,1433,574.3,299.8
e159017,0,,5083458,5097536,5098399,14078,844,864,563.9,301.4
e159017,0,,5083458,5098559,5098994,15101,906,436,579.7,300.2
e159017,0,,5083458,5099008,5099672,15550,933,665,562.1,284.9
e159017,0,,5083458,5099690,5099892,16232,973,203,584.0,244.1
e159017,0,,5083458,5099914,5100782,16456,987,869,601.7,191.8
e159017,0,,5083458,5100908,5101415,17450,1046,508,605.5,195.0
e159017,0,,5083458,5101440,5102183,17982,1078,744,572.3,253.2
e159017,0,,5083458,5102222,5102288,18764,1125,67,578.6,247.7
e159017,0,,5083458,5102423,5104968,18965,1137,2546,585.8,265.7
e159017,0,,5083458,5105045,5105120,21587,1294,76,590.8,273.3
e159017,0,,5083458,5105233,5105821,21775,1306,589,599.0,269.3
e159017,0,,5083458,5105854,5106031,22396,1343,178,649.1,179.1
e159017,0,,5083458,5106048,5106990,22590,1355,943,606.5,197.6
e159017,0,,5083458,5107006,5107103,23548,1412,98,551.4,195.6
e159017,0,,5083458,5107194,5107789,23736,1423,596,578.4,192.5
e159017,0,,5083458,5107869,5108171,24411,1464,303,1246.8,351.9
e159017,0,,5083458,5108191,5108778,24733,1483,588,1195.8,365.5
e159017,0,,5083458,5108798,5109108,25340,1519,311,1214.5,398.3
e159017,0,,5083458,5109144,5109398,25686,1540,255,1222.5,274.5
e159017,0,,5083458,5109428,5109602,25970,1557,175,1232.6,192.5
e159017,0,,5083458,5109619,5109960,26161,1569,342,1231.0,159.2
e159017,0,,5083458,5110078,5110295,26620,1596,218,1203.6,308.1
e159017,0,,5083458,5110326,5110834,26868,1611,509,1173.3,397.9
e159017,0,,5083458,5110856,5110926,27398,1643,71,1183.4,348.2
e159017,0,,5083458,5110995,5111302,27537,1651,308,565.2,222.2
e159017,0,,5083458,5111320,5111712,27862,1671,393,544.0,201.2
e159017,0,,5083458,5111724,5112022,28266,1695,299,560.6,195.3
e159017,0,,5083458,5112100,5112131,28642,1717,32,575.6,206.1
e159017,0,,5083458,5112301,5112597,28843,1729,297,1227.7,364.0
e159017,0,,5083458,5112615,5113434,29157,1748,820,1192.6,363.4
e159017,0,,5083458,5113491,5113524,30033,1801,34,825.0,328.4
e159017,0,,5083458,5113556,5113687,30098,1805,132,687.7,301.1
e159017,0,,5083458,5113714,5114086,30256,1814,373,595.0,266.8
e159017,0,,5083458,5114106,5114302,30648,1838,197,549.8,275.1
e159017,0,,5083458,5114356,5114379,30898,1853,24,545.8,284.3
e159017,0,,5083458,5114520,5114819,31062,1862,300,543.3,274.8
e159017,0,,5083458,5114865,5115096,31407,1883,232,293.0,293.6
e159017,0,,5083458,5115121,5115528,31663,1898,408,223.2,322.5
e159017,0,,5083458,5115576,5115949,32118,1926,374,533.8,285.8
e159017,0,,5083458,5115966,5116864,32508,1949,899,566.0,277.1
e159017,0,,5083458,5116966,5117496,33508,2009,531,576.0,259.4
e159017,0,,5083458,5117550,5117820,34092,2044,271,234.0,359.8
e159017,0,,5083458,5117851,5118092,34393,2062,242,123.0,375.0
e159017,0,,5083458,5118148,5118526,34690,2080,379,562.3,261.7
e159017,0,,5083458,5118711,5120601,35253,2114,1891,573.4,184.3
e159017,0,,5083458,5120654,5120882,37196,2230,229,321.8,327.4
e159017,0,,5083458,5120929,5121741,37471,2247,813,564.6,263.5
e159017,0,,5083458,5121936,5122382,38478,2307,447,537.3,261.4
e159017,0,,5083458,5122395,5123377,38937,2334,983,565.1,281.2
e159017,0,,5083458,5123492,5123943,40034,2400,452,624.6,198.0
e159017,0,,5083458,5123959,5124133,40501,2428,175,618.4,221.1
e159017,0,,5083458,5124176,5124370,40718,2441,195,529.9,335.0
e159017,0,,5083458,5124396,5124559,40938,2454,164,603.1,270.4
e159017,0,,5083458,5124664,5124919,41206,2470,256,626.1,216.6
e159017,0,,5083458,5124960,5125350,41502,2488,391,528.9,344.1
e159017,0,,5083458,5125405,5125803,41947,2515,399,945.6,346.3
e159017,0,,5083458,5125855,5126133,42397,2542,279,643.1,242.2
e159017,0,,5083458,5126234,5126415,42776,2564,182,622.8,191.6
e159017,0,,5083458,5126463,5126673,43005,2578,211,405.1,289.9
e159017,0,,5083458,5126722,5126840,43264,2594,119,657.6,227.3
e159017,0,,5083458,5126906,5127178,43448,2605,273,1207.4,295.4
e159017,0,,5083458,5127217,5127635,43759,2623,419,1250.3,165.3
e159017,0,,5083458,5127671,5127825,44213,2651,155,1226.1,291.0
e159017,0,,5083458,5127858,5127966,44400,2662,109,1148.2,335.5
e159017,0,,5083458,5128007,5128186,44549,2671,180,921.7,324.1
e159017,0,,5083458,5128235,5128371,44777,2684,137,672.6,233.2
e159017,0,,5083458,5128396,5129062,44938,2694,667,611.0,196.4
e159017,0,,5083458,5129119,5129697,45661,2737,579,856.8,522.3
e159017,0,,5083458,5129718,5130286,46260,2773,569,798.8,515.4
e159017,0,,5083458,5130310,5130388,46852,2809,79,858.1,475.7
e159017,0,,5083458,5130451,5130605,46993,2817,155,581.8,169.5
e159017,0,,5083458,5130627,5130891,47169,2828,265,632.0,182.4
e159017,0,,5083458,5130975,5131005,47517,2849,31,623.0,221.1
e159017,0,,5083458,5131236,5133007,47778,2864,1772,621.3,197.4
e159017,0,,5083458,5133104,5133165,49646,2976,62,592.4,250.6
e159017,0,,5083458,5133314,5133939,49856,2989,626,593.1,267.7
e159017,0,,5083458,5134086,5134125,50628,3035,40,637.6,252.8
e159017,0,,5083458,5134154,5134353,50696,3039,200,550.1,270.0
e159017,0,,5083458,5134374,5134519,50916,3052,146,594.4,258.9
e159017,0,,5083458,5134551,5134849,51093,3063,299,627.4,187.2
e159017,0,,5083458,5134861,5135267,51403,3082,407,616.6,196.3
e159017,0,,5083458,5135415,5135846,51957,3115,432,531.7,319.5
e159017,0,,5083458,5135870,5136070,52412,3142,201,586.5,269.0
e159017,0,,5083458,5136263,5136376,52805,3166,114,583.2,285.4
e159017,0,,5083458,5136587,5137004,53129,3185,418,597.1,266.7
e159017,0,,5083458,5137020,5138057,53562,3211,1038,608.0,250.0
e159017,0,,5083458,5138363,5138781,54905,3292,419,521.7,320.6
e159017,0,,5083458,5138812,5139388,55354,3318,577,569.6,252.4
e159017,0,,5083458,5139519,5139954,56061,3361,436,561.5,213.2
e159017,0,,5083458,5139973,5141027,56515,3388,1055,547.4,186.5
e159017,0,,5083458,5141064,5141551,57606,3453,488,535.4,324.6
e159017,0,,5083458,5141572,5142202,58114,3484,631,551.8,262.6
e159017,0,,5083458,5142337,5142513,58879,3530,177,555.3,312.4
e159017,0,,5083458,5142543,5142933,59085,3542,391,505.4,363.2
e159017,0,,5083458,5142978,5143217,59520,3568,240,603.0,217.1
e159017,0,,5083458,5143233,5143432,59775,3583,200,613.5,193.7
e159017,0,,5083458,5143573,5144477,60115,3604,905,614.8,187.4
e159017,0,,5083458,5144639,5145305,61181,3668,667,665.2,168.7
e159017,0,,5083458,5145321,5145627,61863,3709,307,647.9,182.1
e159017,0,,5083458,5145637,5147124,62179,3728,1488,654.1,182.0
e159017,0,,5083458,5147262,5147673,63804,3825,412,657.0,185.2
e159017,0,,5083458,5147697,5147945,64239,3851,249,604.8,187.8
e159017,0,,5083458,5148077,5148313,64619,3874,237,665.9,184.2
e159017,0,,5083458,5148325,5149479,64867,3889,1155,657.0,171.2
e159017,0,,5083458,5149610,5149811,66152,3966,202,668.3,198.4
e159017,0,,5083458,5149826,5150199,66368,3979,374,642.1,184.6
e159017,0,,5083458,5150213,5150612,66755,4002,400,652.8,178.2
e159017,0,,5083458,5150627,5152319,67169,4027,1693,665.0,208.2
e159017,0,,5083458,5152448,5152786,68990,4136,339,686.2,216.2
