subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,x_px,y_px
e159067,0,,223138,223109,223388,-29,-1,280,642.1,373.3
e159067,0,,223138,223425,223931,287,18,507,808.6,473.1
e159067,0,,223138,224138,224714,1000,60,577,773.9,456.0
e159067,0,,223138,224734,225307,1596,96,574,796.1,442.2
e159067,0,,223138,225339,225572,2201,132,234,929.2,428.1
e159067,0,,223138,225593,225849,2455,148,257,952.6,473.1
e159067,0,,223138,225865,226398,2727,164,534,936.4,452.1
e159067,0,,223138,226450,227014,3312,199,565,596.9,293.4
e159067,0,,223138,227040,227358,3902,234,319,625.0,278.7
e159067,0,,223138,227379,227559,4241,255,181,570.3,276.0
e159067,0,,223138,227811,227859,4673,281,49,533.7,303.7
e159067,0,,223138,227914,228117,4776,287,204,206.1,587.5
e159067,0,,223138,228145,228335,5007,301,191,176.7,521.3
e159067,0,,223138,228351,228618,5213,313,268,138.5,523.7
e159067,0,,223138,228649,228811,5511,331,163,274.4,509.3
e159067,0,,223138,228855,229030,5717,343,176,383.4,310.6
e159067,0,,223138,229045,229563,5907,355,519,400.6,321.3
e159067,0,,223138,229572,230843,6434,386,1272,429.5,340.8
e159067,0,,223138,230860,231181,7722,463,322,379.9,320.7
e159067,0,,223138,231230,231502,8092,486,273,262.1,581.4
e159067,0,,223138,231527,231870,8389,503,344,301.4,565.7
e159067,0,,223138,231894,232171,8756,525,278,398.5,545.9
e159067,0,,223138,232194,233144,9056,543,951,370.9,590.5
e159067,0,,223138,233152,233624,10014,601,473,362.3,617.1
e159067,0,,223138,233863,233902,10725,643,40,427.6,600.3
e159067,0,,223138,233973,234213,10835,650,241,162.5,550.1
e159067,0,,223138,234227,234716,11089,665,490,192.9,569.2
e159067,0,,223138,234736,235023,11598,696,288,326.8,541.5
e159067,0,,223138,235036,235222,11898,714,187,350.2,577.6
e159067,0,,223138,235238,235637,12100,726,400,363.2,610.3
e159067,0,,223138,235650,236360,12512,750,711,368.5,636.2
e159067,0,,223138,236397,236724,13259,795,328,190.0,538.6
e159067,0,,223138,236745,237102,13607,816,358,266.3,550.0
e159067,0,,223138,237125,237765,13987,839,641,386.0,580.0
e159067,0,,223138,237780,238464,14642,878,685,392.0,603.0
e159067,0,,223138,238474,238657,15336,920,184,387.2,587.2
e159067,0,,223138,238694,238890,15556,933,197,207.3,532.9
e159067,0,,223138,238915,239129,15777,946,215,352.0,536.4
e159067,0,,223138,239147,239621,16009,960,475,364.4,582.1
e159067,0,,223138,239630,239862,16492,989,233,374.6,586.7
e159067,0,,223138,239878,240563,16740,1004,686,344.0,597.6
e159067,0,,223138,240601,240940,17463,1047,340,125.1,579.8
e159067,0,,223138,240968,241200,17830,1069,233,156.9,511.9
e159067,0,,223138,241433,241640,18295,1097,208,401.7,289.6
e159067,0,,223138,241662,242000,18524,1111,339,361.2,323.4
e159067,0,,223138,242044,242291,18906,1134,248,364.2,547.5
e159067,0,,223138,242310,242456,19172,1150,147,345.5,582.7
e159067,0,,223138,242484,243025,19346,1160,542,287.1,511.0
e159067,0,,223138,243046,243198,19908,1194,153,277.8,474.6
e159067,0,,223138,243241,243490,20103,1205,250,128.4,497.9
e159067,0,,223138,243502,243865,20364,1221,364,151.4,505.5
e159067,0,,223138,243878,244176,20740,1244,299,153.6,537.0
e159067,0,,223138,244220,244573,21082,1264,354,431.6,311.9
e159067,0,,223138,244608,244882,21470,1287,275,707.2,345.7
e159067,0,,223138,244911,245398,21773,1306,488,650.0,304.8
e159067,0,,223138,245442,245638,22304,1337,197,907.6,460.7
e159067,0,,223138,245668,246364,22530,1351,697,1000.4,524.4
e159067,0,,223138,246384,247111,23246,1394,728,997.4,543.7
e159067,0,,223138,247138,247209,24000,1439,72,1006.5,484.4
e159067,0,,223138,247470,247566,24332,1459,97,1009.3,462.5
e159067,0,,223138,247594,248030,24456,1466,437,907.4,474.6
e159067,0,,223138,248062,248512,24924,1494,451,903.2,384.0
e159067,0,,223138,248545,249063,25407,1523,519,628.9,302.9
e159067,0,,223138,249117,249591,25979,1558,475,196.7,548.4
e159067,0,,223138,249613,249854,26475,1587,242,238.7,584.3
e159067,0,,223138,249902,250083,26764,1605,182,424.9,289.0
e159067,0,,223138,250101,250978,26963,1617,878,487.2,303.9
e159067,0,,223138,250994,251539,27856,1670,546,644.8,317.5
e159067,0,,223138,251597,251909,28459,1706,313,1185.3,313.1
e159067,0,,223138,251928,252406,28790,1726,479,1222.7,335.2
e159067,0,,223138,252426,252630,29288,1756,205,1189.2,321.1
e159067,0,,223138,252680,252810,29542,1771,131,1019.2,55.1
e159067,0,,223138,252837,253103,29699,1781,267,941.6,10.1
e159067,0,,223138,253114,253591,29976,1797,478,928.9,-4.7
e159067,0,,223138,253615,254133,30477,1827,519,883.9,17.1
e159067,0,,223138,254156,254559,31018,1860,404,920.1,-15.1
e159067,0,,223138,254570,254951,31432,1885,382,936.3,-12.8
e159067,0,,223138,255250,255399,32112,1925,150,293.0,501.3
e159067,0,,223138,255444,255805,32306,1937,362,169.4,527.1
e159067,0,,223138,255842,256269,32704,1961,428,256.0,543.2
e159067,0,,223138,256285,257114,33147,1987,830,286.7,534.2
e159067,0,,223138,257138,258918,34000,2038,1781,320.3,482.9
e159067,0,,223138,259222,259507,36084,2163,286,320.2,481.8
e159067,0,,223138,259517,261242,36379,2181,1726,325.2,489.2
e159067,0,,223138,261276,261564,38138,2286,289,347.9,322.4
e159067,0,,223138,261600,262263,38462,2306,664,316.7,490.2
e159067,0,,223138,262274,264286,39136,2346,2013,298.7,484.1
e159067,0,,223138,264331,264811,41193,2470,481,155.1,514.2
e159067,0,,223138,264835,265798,41697,2500,964,99.3,525.9
e159067,0,,223138,265822,266025,42684,2559,204,155.8,505.0
e159067,0,,223138,266056,266879,42918,2573,824,296.8,496.5
e159067,0,,223138,267190,267441,44052,2641,252,289.7,496.5
e159067,0,,223138,267468,267907,44330,2658,440,372.8,465.4
e159067,0,,223138,267924,268424,44786,2685,501,346.8,469.8
e159067,0,,223138,268449,268838,45311,2716,390,375.4,503.8
e159067,0,,223138,268885,269398,45747,2743,514,229.6,659.8
e159067,0,,223138,269427,269640,46289,2775,214,338.7,677.4
e159067,0,,223138,269677,270106,46539,2790,430,541.4,676.6
e159067,0,,223138,270132,270282,46994,2817,151,622.1,665.7
e159067,0,,223138,270329,270974,47191,2829,646,943.7,575.1
e159067,0,,223138,271007,271506,47869,2870,500,905.6,486.8
e159067,0,,223138,271530,271811,48392,2901,282,856.7,458.9
e159067,0,,223138,271823,271975,48685,2919,153,875.5,464.5
e159067,0,,223138,272001,272170,48863,2929,170,813.0,423.7
e159067,0,,223138,272238,273088,49100,2944,851,398.1,472.2
e159067,0,,223138,273138,273347,50000,2998,210,776.3,439.0
e159067,0,,223138,273370,273503,50232,3011,134,814.9,409.8
e159067,0,,223138,273534,273725,50396,3021,192,938.7,403.5
e159067,0,,223138,273752,274194,50614,3034,443,970.7,461.9
e159067,0,,223138,274204,274428,51066,3061,225,985.9,473.6
e159067,0,,223138,274452,274678,51314,3076,227,956.6,434.5
e159067,0,,223138,274695,275035,51557,3091,341,935.4,426.1
e159067,0,,223138,275100,275262,51962,3115,163,439.0,457.1
e159067,0,,223138,275286,276695,52148,3126,1410,383.4,472.4
e159067,0,,223138,277002,278587,53864,3229,1586,365.7,471.6
e159067,0,,223138,278604,278824,55466,3325,221,389.8,456.0
e159067,0,,223138,278844,280358,55706,3340,1515,369.2,474.5
e159067,0,,223138,280369,280587,57231,3431,219,381.6,464.0
e159067,0,,223138,280623,280916,57485,3446,294,420.4,322.3
e159067,0,,223138,280955,281544,57817,3466,590,377.4,477.6
e159067,0,,223138,281813,281845,58675,3517,33,431.3,460.2
e159067,0,,223138,281862,282060,58724,3520,199,374.3,467.6
e159067,0,,223138,282074,282325,58936,3533,252,393.7,476.2
e159067,0,,223138,282347,282520,59209,3549,174,441.6,469.6
e159067,0,,223138,282555,282783,59417,3562,229,407.0,316.2
e159067,0,,223138,282792,283035,59654,3576,244,401.0,328.5
e159067,0,,223138,283116,283502,59978,3596,387,1188.8,306.8
e159067,0,,223138,283525,284021,60387,3620,497,1236.0,324.4
e159067,0,,223138,284046,284392,60908,3651,347,1226.4,381.6
e159067,0,,223138,284417,286748,61279,3674,2332,1192.5,329.6
e159067,0,,223138,286756,288186,63618,3814,1431,1186.8,320.1
e159067,0,,223138,288500,288736,65362,3918,237,318.6,524.6
e159067,0,,223138,289012,289141,65874,3949,130,404.5,591.5
e159067,0,,223138,289172,289510,66034,3959,339,311.6,532.8
e159067,0,,223138,289530,290114,66392,3980,585,283.1,505.4
e159067,0,,223138,290141,290775,67003,4017,635,289.4,436.8
e159067,0,,223138,290847,291078,67709,4059,232,984.9,576.9
e159067,0,,223138,291106,291396,67968,4075,291,1022.3,653.8
e159067,0,,223138,291454,291555,68316,4095,102,905.6,328.2
e159067,0,,223138,291641,291784,68503,4107,144,259.0,572.1
e159067,0,,223138,291816,292103,68678,4117,288,211.9,594.6
e159067,0,,223138,292184,292838,69046,4139,655,973.4,619.3
e159067,0,,223138,292874,293325,69736,4180,452,785.4,457.3
e159067,0,,223138,293350,293749,70212,4209,400,808.7,412.7
e159067,0,,223138,293830,293855,70692,4238,26,474.6,275.5
e159067,0,,223138,294072,294628,70934,4252,557,660.8,253.3
e159067,0,,223138,294687,294860,71549,4289,174,1080.0,335.2
e159067,0,,223138,294886,295180,71748,4301,295,1077.8,270.4
e159067,0,,223138,295194,296175,72056,4320,982,1027.1,274.7
e159067,0,,223138,296221,297032,73083,4381,812,802.8,235.2
e159067,0,,223138,297281,297381,74143,4445,101,802.1,253.1
e159067,0,,223138,297402,298041,74264,4452,640,769.2,261.9
e159067,0,,223138,298079,298353,74941,4492,275,931.4,355.2
e159067,0,,223138,298387,298656,75249,4511,270,836.3,440.1
e159067,0,,223138,298695,298932,75557,4529,238,694.7,499.8
e159067,0,,223138,298971,299010,75833,4546,40,713.1,514.1
e159067,0,,223138,299068,299263,75930,4552,196,567.6,543.3
e159067,0,,223138,299288,299869,76150,4565,582,633.7,560.4
e159067,0,,223138,299894,300057,76756,4601,164,554.3,554.9
e159067,0,,223138,300123,300318,76985,4615,196,201.4,582.4
e159067,0,,223138,300341,300750,77203,4628,410,171.9,610.7
e159067,0,,223138,300786,301300,77648,4655,515,358.6,557.4
e159067,0,,223138,301345,301449,78207,4688,105,163.9,534.2
e159067,0,,223138,301682,302421,78544,4708,740,414.4,312.9
e159067,0,,223138,302454,302877,79316,4755,424,534.7,291.1
e159067,0,,223138,302938,303208,79800,4784,271,1149.5,334.8
e159067,0,,223138,303234,303416,80096,4801,183,1080.6,296.5
e159067,0,,223138,303460,303664,80322,4815,205,1145.0,195.9
e159067,0,,223138,303675,303935,80537,4828,261,1133.1,210.6
e159067,0,,223138,303990,304137,80852,4847,148,765.9,252.3
e159067,0,,223138,304174,304530,81036,4858,357,725.7,270.6
e159067,0,,223138,304555,304853,81417,4881,299,771.9,279.1
e159067,0,,223138,305108,305143,81970,4914,36,1161.9,332.5
e159067,0,,223138,305165,305252,82027,4917,88,1117.3,384.6
e159067,0,,223138,305346,305759,82208,4928,414,1055.0,574.1
e159067,0,,223138,305789,306676,82651,4955,888,1067.9,655.2
e159067,0,,223138,306724,307031,83586,5011,308,745.5,501.5
e159067,0,,223138,307068,307753,83930,5031,686,648.5,594.1
e159067,0,,223138,307787,308507,84649,5074,721,663.7,624.4
e159067,0,,223138,308530,308975,85392,5119,446,449.9,574.6
e159067,0,,223138,309290,309677,86152,5164,388,323.2,488.7
e159067,0,,223138,309712,309930,86574,5190,219,257.9,528.3
e159067,0,,223138,309963,310328,86825,5205,366,295.6,504.6
e159067,0,,223138,310346,310511,87208,5228,166,268.4,533.1
e159067,0,,223138,310551,311570,87413,5240,1020,152.1,512.1
e159067,0,,223138,311620,311879,88482,5304,260,427.2,277.6
e159067,0,,223138,311950,312137,88812,5324,188,130.2,500.5
e159067,0,,223138,312158,312403,89020,5336,246,159.6,504.3
e159067,0,,223138,312414,313076,89276,5352,663,146.7,530.4
e159067,0,,223138,313089,313711,89951,5392,623,127.5,532.8
e159067,0,,223138,314168,314235,91030,5457,68,855.2,392.9
e159067,0,,223138,314256,314483,91118,5462,228,791.1,415.7
