subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,start_x_px,start_y_px,end_x_px,end_y_px,amp_deg,amp_px
e159018,0,,10635210,10635687,10635714,477,29,28,646.1,364.4,692.9,428.9,2.47,79.68996172668172
e159018,0,,10635210,10635962,10636014,752,46,53,689.3,419.0,472.2,232.9,8.7,285.94688317937647
e159018,0,,10635210,10636159,10636208,949,57,50,472.9,228.9,392.9,83.9,5.2,165.60495161679194
e159018,0,,10635210,10636507,10636570,1297,78,64,384.8,73.2,629.7,341.5,11.17,363.26422890232396
e159018,0,,10635210,10636856,10636902,1646,99,47,631.9,355.7,753.7,253.9,4.84,158.74029104168864
e159018,0,,10635210,10637175,10637211,1965,118,37,744.4,236.4,652.6,265.6,2.86,96.33213378722591
e159018,0,,10635210,10637424,10637458,2214,133,35,637.3,264.8,571.2,434.3,5.75,181.93256992633286
e159018,0,,10635210,10637797,10637828,2587,156,32,555.2,440.8,581.9,471.7,1.25,40.837482782365456
e159018,0,,10635210,10638231,10638237,3021,182,7,589.9,485.8,578.6,492.2,0.38,12.986531484580425
e159018,0,,10635210,10638440,10638462,3230,194,23,578.1,495.3,618.9,520.4,1.42,47.902505153697284
e159018,0,,10635210,10638612,10638788,3402,204,177,614.4,522.1,767.9,532.1,4.45,153.82538802161366
e159018,0,,10635210,10638978,10639016,3768,226,39,763.2,543.9,836.1,592.2,2.56,87.44884218787578
e159018,0,,10635210,10639714,10639762,4504,270,49,842.5,595.0,625.1,624.7,6.26,219.4193473693694
e159018,0,,10635210,10640066,10640111,4856,292,46,598.4,629.0,818.8,314.0,11.71,384.44916438977987
e159018,0,,10635210,10640427,10640488,5217,313,62,820.0,292.9,1196.0,605.1,14.19,488.7175462370878
e159018,0,,10635210,10640648,10640707,5438,326,60,1195.6,618.5,1199.0,211.3,12.3,407.21419425162475
e159018,0,,10635210,10640805,10640845,5595,336,41,1177.2,188.5,1188.6,119.2,2.18,70.23140323245718
e159018,0,,10635210,10640987,10641008,5777,347,22,1152.8,112.6,1167.4,140.0,0.94,31.047061052537714
e159018,0,,10635210,10641195,10641213,5985,359,19,1134.1,134.6,1125.6,100.6,1.09,35.04639781775011
e159018,0,,10635210,10641696,10641713,6486,389,18,1072.1,112.1,1042.0,135.2,1.12,37.942324652029356
e159018,0,,10635210,10641780,10641930,6570,394,151,1041.7,136.0,1026.3,133.2,0.44,15.65247584249862
e159018,0,,10635210,10642128,10642146,6918,415,19,1023.3,147.8,1011.7,182.6,1.15,36.682420857953154
e159018,0,,10635210,10642260,10642442,7050,423,183,1009.6,177.9,1022.9,143.4,1.16,36.97485632155991
e159018,0,,10635210,10642578,10642601,7368,442,24,1032.2,154.1,1094.9,145.3,1.79,63.314532297095944
e159018,0,,10635210,10642916,10642934,7706,462,19,1111.4,136.7,1130.4,135.6,0.53,19.03181546778972
e159018,0,,10635210,10643286,10643357,8076,485,72,1102.5,136.8,667.3,512.1,17.08,574.673063576152
e159018,0,,10635210,10643558,10643602,8348,501,45,645.2,531.2,514.2,657.8,5.39,182.1772762997624
e159018,0,,10635210,10643876,10643924,8666,520,49,492.3,690.8,480.2,546.6,4.39,144.70677247454586
e159018,0,,10635210,10644191,10644218,8981,539,28,477.0,529.2,504.3,452.4,2.53,81.50785238245462
e159018,0,,10635210,10644482,10644533,9272,556,52,496.9,462.9,757.3,194.1,11.45,374.24804608708376
e159018,0,,10635210,10644727,10644756,9517,571,30,748.3,181.5,819.4,93.5,3.52,113.13359359624356
e159018,0,,10635210,10645063,10645179,9853,591,117,830.1,105.9,844.3,166.4,1.99,62.144106719784766
e159018,0,,10635210,10645292,10645441,10082,605,150,841.3,170.2,843.5,199.0,0.93,28.883905553093072
e159018,0,,10635210,10645515,10645581,10305,618,67,844.1,209.0,681.3,520.7,10.94,351.6542762430169
e159018,0,,10635210,10645818,10645844,10608,636,27,681.2,545.0,696.9,473.0,2.3,73.6918584376863
e159018,0,,10635210,10646019,10646055,10809,648,37,688.9,482.8,654.3,529.3,1.77,57.960417527826664
e159018,0,,10635210,10646318,10646366,11108,666,49,644.3,540.8,797.9,486.0,4.76,163.0828010551695
e159018,0,,10635210,10646498,10646656,11288,677,159,810.7,482.2,809.5,417.5,2.04,64.71112732753154
e159018,0,,10635210,10646776,10646829,11566,694,54,804.4,398.9,946.4,181.5,8.05,259.6666324347431
e159018,0,,10635210,10647447,10647513,12237,734,67,925.2,154.1,637.3,500.0,13.76,450.036909597424
e159018,0,,10635210,10647678,10647714,12468,748,37,634.5,514.3,648.8,480.8,1.13,36.42444234302009
e159018,0,,10635210,10648190,10648215,12980,779,26,682.7,450.5,732.6,378.9,2.7,87.27296259437972
e159018,0,,10635210,10648596,10648620,13386,803,25,777.7,365.3,808.1,407.5,1.61,52.00961449578335
e159018,0,,10635210,10648845,10648868,13635,818,24,826.3,407.3,872.8,442.0,1.73,58.02016890702749
e159018,0,,10635210,10649112,10649130,13902,834,19,894.7,450.2,929.8,473.5,1.24,42.12956206750783
e159018,0,,10635210,10649607,10649619,14397,863,13,922.2,471.7,901.2,480.8,0.66,22.886895813980548
e159018,0,,10635210,10649996,10650017,14786,887,22,859.9,460.6,831.7,422.2,1.46,47.642418074652745
e159018,0,,10635210,10650354,10650375,15144,908,22,826.8,401.9,802.2,356.1,1.62,51.988460258022556
e159018,0,,10635210,10650470,10650629,15260,915,160,802.8,359.7,776.3,365.8,0.8,27.193013808697266
e159018,0,,10635210,10650749,10650804,15539,932,56,778.1,370.6,502.4,321.7,8.2,280.0030356978296
e159018,0,,10635210,10651062,10651116,15852,951,55,472.4,311.8,828.6,336.0,10.41,357.0211198234637
e159018,0,,10635210,10651438,10651460,16228,973,23,853.0,336.2,827.2,366.8,1.23,40.02499219237899
e159018,0,,10635210,10651608,10651798,16398,983,191,832.2,362.5,838.1,350.2,0.43,13.641847382227967
e159018,0,,10635210,10652296,10652317,17086,1025,22,825.3,325.2,817.2,369.4,1.43,44.93606569338261
e159018,0,,10635210,10652458,10652653,17248,1034,196,815.1,359.3,838.9,378.6,0.92,30.641964688968596
e159018,0,,10635210,10652803,10652823,17593,1055,21,828.4,344.8,803.4,344.3,0.73,25.004999500099974
e159018,0,,10635210,10653062,10653113,17852,1071,52,811.2,344.2,924.9,183.6,6.11,196.77410906925732
e159018,0,,10635210,10653333,10653342,18123,1087,10,933.1,166.8,949.8,175.3,0.55,18.738729946290324
e159018,0,,10635210,10653564,10653640,18354,1101,77,943.9,173.3,472.5,179.4,13.69,471.4394658914334
e159018,0,,10635210,10653744,10653767,18534,1111,24,462.1,178.3,390.1,143.4,2.38,80.01256151380232
e159018,0,,10635210,10654172,10654219,18962,1137,48,379.7,149.5,455.1,293.6,5.11,162.63446744156053
e159018,0,,10635210,10654927,10655092,19717,1182,166,445.0,311.2,856.0,406.0,12.31,421.7914650630095
e159018,0,,10635210,10655313,10655355,20103,1205,43,848.5,388.8,924.3,447.9,2.87,96.11685596189666
e159018,0,,10635210,10655509,10655551,20299,1217,43,939.2,459.0,1006.2,162.9,9.52,303.58558924955577
e159018,0,,10635210,10655851,10655874,20641,1238,24,1003.6,159.7,1014.0,129.3,1.01,32.1297370048371
e159018,0,,10635210,10656149,10656209,20939,1256,61,1010.0,135.2,1075.6,374.6,7.76,248.22513974213007
e159018,0,,10635210,10656377,10656551,21167,1269,175,1058.9,388.5,797.3,481.0,7.99,277.4721787855497
e159018,0,,10635210,10656738,10656779,21528,1291,42,787.7,444.4,789.0,373.8,2.24,70.6119678241585
e159018,0,,10635210,10657179,10657217,21969,1317,39,785.7,352.1,711.5,396.1,2.58,86.26494073492432
e159018,0,,10635210,10657379,10657404,22169,1329,26,702.1,400.7,698.5,355.1,1.46,45.74188452611017
e159018,0,,10635210,10657679,10657703,22469,1347,25,697.7,362.4,755.0,315.9,2.24,73.79390218710483
e159018,0,,10635210,10657795,10657957,22585,1354,163,747.4,322.8,735.1,353.2,1.04,32.79405433916333
e159018,0,,10635210,10658222,10658269,23012,1380,48,732.2,339.0,538.1,333.2,5.7,194.1866370273712
e159018,0,,10635210,10658466,10658489,23256,1394,24,509.7,339.6,524.4,308.5,1.09,34.39912789592203
e159018,0,,10635210,10659066,10659087,23856,1430,22,527.0,315.5,537.6,342.4,0.92,28.913145799099745
e159018,0,,10635210,10659406,10659451,24196,1451,46,540.0,331.9,493.9,222.2,3.78,118.99285692847282
e159018,0,,10635210,10659603,10659638,24393,1463,36,485.8,205.2,497.2,161.9,1.44,44.77555136455606
e159018,0,,10635210,10660510,10660693,25300,1517,184,492.9,162.5,488.1,142.0,0.68,21.05445321066305
e159018,0,,10635210,10660833,10660883,25623,1536,51,485.7,141.7,746.5,173.0,7.73,262.6715249127701
e159018,0,,10635210,10661065,10661086,25855,1550,22,764.1,180.4,722.6,150.9,1.55,50.91659847240387
e159018,0,,10635210,10661257,10661313,26047,1562,57,729.7,154.1,494.5,146.3,6.91,235.3293011930304
