subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,x_px,y_px
e159032,0,,4293060,4293030,4293268,-30,-1,239,657.2,364.2
e159032,0,,4293060,4293310,4293529,250,15,220,508.0,432.7
e159032,0,,4293060,4293584,4293842,524,32,259,876.4,441.3
e159032,0,,4293060,4293881,4294146,821,50,266,999.5,402.8
e159032,0,,4293060,4294203,4294475,1143,69,273,632.4,406.1
e159032,0,,4293060,4294511,4294963,1451,87,453,484.0,452.3
e159032,0,,4293060,4295027,4295305,1967,118,279,939.6,435.5
e159032,0,,4293060,4295318,4295760,2258,136,443,930.7,408.3
e159032,0,,4293060,4295786,4296105,2726,164,320,1015.6,399.1
e159032,0,,4293060,4296127,4296371,3067,184,245,1028.0,338.7
e159032,0,,4293060,4296399,4296722,3339,201,324,930.4,370.4
e159032,0,,4293060,4296787,4297040,3727,224,254,486.8,401.7
e159032,0,,4293060,4297076,4297508,4016,241,433,363.7,457.7
e159032,0,,4293060,4297532,4297811,4472,269,280,410.8,409.8
e159032,0,,4293060,4297834,4298118,4774,287,285,473.3,433.5
e159032,0,,4293060,4298189,4298398,5129,308,210,985.1,662.1
e159032,0,,4293060,4298407,4298644,5347,321,238,988.0,644.7
e159032,0,,4293060,4298684,4298883,5624,338,200,1163.3,579.6
e159032,0,,4293060,4298907,4299531,5847,351,625,1190.0,490.5
e159032,0,,4293060,4299561,4299721,6501,390,161,1185.8,427.4
e159032,0,,4293060,4299844,4299948,6784,407,105,209.3,229.6
e159032,0,,4293060,4299983,4300997,6923,415,1015,227.6,173.7
e159032,0,,4293060,4301023,4301405,7963,478,383,562.1,267.8
e159032,0,,4293060,4301464,4301834,8404,504,371,962.9,396.1
e159032,0,,4293060,4301878,4302222,8818,529,345,921.8,612.0
e159032,0,,4293060,4302287,4302768,9227,554,482,863.8,341.0
e159032,0,,4293060,4302790,4302838,9730,584,49,938.9,322.9
e159032,0,,4293060,4302851,4303345,9791,587,495,941.8,309.5
e159032,0,,4293060,4303363,4303547,10303,618,185,945.2,261.8
e159032,0,,4293060,4303565,4304053,10505,630,489,945.4,222.0
e159032,0,,4293060,4304069,4304635,11009,660,567,905.5,254.7
e159032,0,,4293060,4304692,4304925,11632,698,234,740.1,429.6
e159032,0,,4293060,4304964,4305241,11904,714,278,777.9,598.3
e159032,0,,4293060,4305269,4305753,12209,732,485,715.3,681.2
e159032,0,,4293060,4305781,4306946,12721,763,1166,799.5,682.8
e159032,0,,4293060,4306974,4307250,13914,835,277,782.4,587.4
e159032,0,,4293060,4307284,4307595,14224,853,312,855.1,677.6
e159032,0,,4293060,4307622,4308248,14562,873,627,895.2,457.2
