subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,x_px,y_px
e159087,0,,4857255,4857226,4857481,-29,-1,256,637.8,359.7
e159087,0,,4857255,4857527,4857669,272,17,143,819.8,432.3
e159087,0,,4857255,4857682,4858428,427,26,747,796.7,449.4
e159087,0,,4857255,4858498,4858723,1243,75,226,219.9,548.4
e159087,0,,4857255,4858748,4859085,1493,90,338,138.9,527.7
e159087,0,,4857255,4859161,4859533,1906,115,373,781.3,509.9
e159087,0,,4857255,4859544,4859844,2289,138,301,799.8,499.4
e159087,0,,4857255,4859859,4860011,2604,157,153,793.6,461.5
e159087,0,,4857255,4860020,4860241,2765,166,222,800.2,439.2
e159087,0,,4857255,4860309,4860632,3054,184,324,377.7,277.1
e159087,0,,4857255,4860662,4860970,3407,205,309,516.6,297.0
e159087,0,,4857255,4860993,4861297,3738,225,305,576.4,309.4
e159087,0,,4857255,4861312,4861961,4057,244,650,541.2,297.8
e159087,0,,4857255,4861974,4862647,4719,283,674,412.1,323.4
e159087,0,,4857255,4862657,4863169,5402,324,513,338.2,340.1
e159087,0,,4857255,4863179,4863664,5924,356,486,363.7,320.6
e159087,0,,4857255,4863712,4863888,6457,388,177,334.4,569.0
e159087,0,,4857255,4863910,4864598,6655,399,689,338.0,617.6
e159087,0,,4857255,4864635,4864871,7380,443,237,199.0,543.7
e159087,0,,4857255,4864895,4865564,7640,458,670,151.9,594.0
e159087,0,,4857255,4865576,4865737,8321,499,162,236.8,585.9
e159087,0,,4857255,4865899,4866167,8644,519,269,377.2,331.0
e159087,0,,4857255,4866217,4867337,8962,538,1121,352.3,622.2
e159087,0,,4857255,4867393,4867586,10138,608,194,375.4,320.1
e159087,0,,4857255,4867595,4868479,10340,620,885,367.2,331.9
e159087,0,,4857255,4868529,4868772,11274,676,244,204.2,567.1
e159087,0,,4857255,4868801,4869900,11546,693,1100,357.4,619.7
e159087,0,,4857255,4869910,4870448,12655,759,539,353.3,649.9
e159087,0,,4857255,4870490,4870673,13235,794,184,164.5,566.8
e159087,0,,4857255,4870686,4870977,13431,806,292,189.1,556.0
e159087,0,,4857255,4871016,4871533,13761,825,518,367.5,621.3
e159087,0,,4857255,4871540,4871981,14285,857,442,362.9,607.4
e159087,0,,4857255,4872034,4872316,14779,886,283,344.9,329.6
e159087,0,,4857255,4872364,4872603,15109,906,240,146.4,552.3
e159087,0,,4857255,4872623,4872846,15368,922,224,109.5,589.4
e159087,0,,4857255,4872887,4874036,15632,937,1150,344.0,618.8
e159087,0,,4857255,4874048,4874464,16793,1007,417,326.7,629.1
e159087,0,,4857255,4874522,4875140,17267,1035,619,357.7,335.0
e159087,0,,4857255,4875186,4875372,17931,1075,187,185.2,541.6
e159087,0,,4857255,4875394,4875601,18139,1088,208,257.3,553.4
e159087,0,,4857255,4875634,4876243,18379,1102,610,353.9,622.1
e159087,0,,4857255,4876282,4876463,19027,1141,182,212.6,551.2
e159087,0,,4857255,4876490,4876677,19235,1153,188,139.8,537.7
e159087,0,,4857255,4876689,4876850,19434,1165,162,133.0,515.4
e159087,0,,4857255,4876894,4877852,19639,1178,959,320.2,323.7
e159087,0,,4857255,4877861,4880524,20606,1236,2664,573.8,319.3
e159087,0,,4857255,4880573,4880868,23318,1398,296,981.8,555.1
e159087,0,,4857255,4880882,4881714,23627,1417,833,995.9,509.0
e159087,0,,4857255,4881726,4882895,24471,1467,1170,889.3,473.7
e159087,0,,4857255,4882938,4883109,25683,1540,172,571.2,318.2
e159087,0,,4857255,4883126,4886828,25871,1551,3703,574.3,322.9
e159087,0,,4857255,4886844,4888002,29589,1774,1159,725.9,343.0
e159087,0,,4857255,4888035,4888347,30780,1845,313,476.8,485.7
e159087,0,,4857255,4888365,4888791,31110,1865,427,395.6,537.3
e159087,0,,4857255,4888986,4889133,31731,1902,148,309.4,521.8
e159087,0,,4857255,4889149,4889570,31894,1912,422,249.0,551.1
e159087,0,,4857255,4889580,4889738,32325,1938,159,217.1,549.7
e159087,0,,4857255,4889779,4890095,32524,1950,317,285.4,363.6
e159087,0,,4857255,4890111,4891007,32856,1970,897,303.9,340.5
e159087,0,,4857255,4891031,4891226,33776,2025,196,309.9,407.9
e159087,0,,4857255,4891250,4891424,33995,2038,175,317.9,356.3
e159087,0,,4857255,4891461,4892605,34206,2051,1145,285.5,505.3
e159087,0,,4857255,4892643,4893688,35388,2122,1046,327.0,344.0
e159087,0,,4857255,4893727,4895473,36472,2187,1747,291.2,515.5
e159087,0,,4857255,4895485,4897956,38230,2292,2472,273.7,514.4
e159087,0,,4857255,4897965,4900948,40710,2441,2984,268.7,507.1
e159087,0,,4857255,4900983,4901178,43728,2622,196,307.3,355.8
e159087,0,,4857255,4901191,4903052,43936,2634,1862,324.7,347.4
e159087,0,,4857255,4903094,4903265,45839,2748,172,282.5,488.8
e159087,0,,4857255,4903279,4907122,46024,2759,3844,343.0,503.1
e159087,0,,4857255,4907145,4909232,49890,2991,2088,401.7,542.1
e159087,0,,4857255,4909257,4909890,52002,3118,634,341.5,498.7
e159087,0,,4857255,4909910,4910254,52655,3157,345,398.0,499.8
e159087,0,,4857255,4910267,4911431,53012,3178,1165,379.4,496.5
e159087,0,,4857255,4911487,4911661,54232,3251,175,765.1,451.5
e159087,0,,4857255,4911675,4912304,54420,3262,630,788.4,447.2
e159087,0,,4857255,4912342,4912861,55087,3302,520,936.6,457.9
e159087,0,,4857255,4912930,4913142,55675,3338,213,375.2,531.4
e159087,0,,4857255,4913157,4914046,55902,3351,890,339.0,512.9
e159087,0,,4857255,4914085,4914230,56830,3407,146,168.3,533.0
e159087,0,,4857255,4914246,4914354,56991,3417,109,130.8,536.0
e159087,0,,4857255,4914363,4914581,57108,3424,219,130.6,515.2
e159087,0,,4857255,4914590,4914885,57335,3437,296,113.3,520.8
e159087,0,,4857255,4915080,4915117,57825,3467,38,101.8,493.6
e159087,0,,4857255,4915135,4915604,57880,3470,470,123.3,527.8
e159087,0,,4857255,4915644,4916165,58389,3500,522,347.4,503.6
e159087,0,,4857255,4916172,4916818,58917,3532,647,354.6,496.4
e159087,0,,4857255,4916830,4918031,59575,3571,1202,340.7,520.7
e159087,0,,4857255,4918071,4918257,60816,3646,187,401.5,338.6
e159087,0,,4857255,4918269,4918834,61014,3658,566,376.5,361.0
e159087,0,,4857255,4918845,4920089,61590,3692,1245,375.6,380.2
e159087,0,,4857255,4920108,4920324,62853,3768,217,415.7,378.7
e159087,0,,4857255,4920342,4920876,63087,3782,535,371.5,372.7
e159087,0,,4857255,4920912,4921177,63657,3816,266,322.2,508.3
e159087,0,,4857255,4921211,4922127,63956,3834,917,188.9,613.6
e159087,0,,4857255,4922163,4922988,64908,3891,826,324.2,557.0
e159087,0,,4857255,4923010,4923214,65755,3942,205,353.8,629.6
e159087,0,,4857255,4923228,4923930,65973,3955,703,389.6,607.9
e159087,0,,4857255,4923979,4924427,66724,4000,449,485.1,340.0
e159087,0,,4857255,4924488,4924726,67233,4030,239,947.7,550.3
e159087,0,,4857255,4924752,4925023,67497,4046,272,971.1,612.8
e159087,0,,4857255,4925049,4926225,67794,4064,1177,998.9,680.9
e159087,0,,4857255,4926243,4926559,68988,4136,317,965.9,613.7
e159087,0,,4857255,4926636,4926757,69381,4159,122,1190.8,380.7
e159087,0,,4857255,4926777,4927251,69522,4168,475,1204.0,349.3
e159087,0,,4857255,4927345,4927503,70090,4202,159,287.6,556.5
e159087,0,,4857255,4927532,4927794,70277,4213,263,195.2,626.9
e159087,0,,4857255,4927847,4930086,70592,4232,2240,640.0,289.3
e159087,0,,4857255,4930127,4930405,72872,4368,279,930.7,360.0
e159087,0,,4857255,4930422,4930924,73167,4386,503,968.5,372.9
e159087,0,,4857255,4930968,4931210,73713,4419,243,759.2,271.7
e159087,0,,4857255,4931221,4931522,73966,4434,302,745.2,295.8
e159087,0,,4857255,4931565,4931863,74310,4455,299,906.4,380.5
e159087,0,,4857255,4931888,4932451,74633,4474,564,920.4,348.0
e159087,0,,4857255,4932473,4932710,75218,4509,238,802.9,473.7
e159087,0,,4857255,4932733,4933444,75478,4525,712,616.3,575.4
e159087,0,,4857255,4933499,4933679,76244,4571,181,178.8,609.6
e159087,0,,4857255,4933694,4933780,76439,4582,87,144.3,623.7
e159087,0,,4857255,4933835,4934715,76580,4591,881,531.9,590.9
e159087,0,,4857255,4934759,4934961,77504,4646,203,207.4,615.3
e159087,0,,4857255,4934986,4935246,77731,4660,261,142.3,550.7
e159087,0,,4857255,4935268,4935455,78013,4677,188,172.4,617.4
e159087,0,,4857255,4935480,4935992,78225,4689,513,228.5,573.8
e159087,0,,4857255,4936060,4936268,78805,4724,209,778.2,460.0
e159087,0,,4857255,4936278,4936563,79023,4737,286,790.9,451.5
e159087,0,,4857255,4936617,4937989,79362,4757,1373,599.2,304.6
e159087,0,,4857255,4937998,4938778,80743,4840,781,689.8,311.2
e159087,0,,4857255,4938792,4939162,81537,4888,371,708.6,353.9
