subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,start_x_px,start_y_px,end_x_px,end_y_px,amp_deg,amp_px
e159061,0,,4156462,4156678,4156707,216,13,30,644.3,345.9,534.1,303.2,3.51,118.18345907951749
e159061,0,,4156462,4157087,4157107,625,38,21,530.3,293.0,491.9,296.2,1.13,38.53310265213533
e159061,0,,4156462,4157357,4157414,895,54,58,500.8,302.1,207.8,344.3,8.49,296.0233774552273
e159061,0,,4156462,4157815,4157841,1353,82,27,211.1,334.1,114.8,350.2,2.71,97.63657101721668
e159061,0,,4156462,4158221,4158247,1759,106,27,132.2,341.8,75.2,372.9,1.83,64.93234941075208
e159061,0,,4156462,4158365,4158412,1903,115,48,78.3,367.4,496.7,326.8,11.84,420.3652221580657
e159061,0,,4156462,4158601,4158617,2139,129,17,497.9,323.1,524.6,308.6,0.91,30.383219052628416
e159061,0,,4156462,4159375,4159480,2913,175,106,513.2,325.2,759.6,434.5,7.98,269.5541689531067
e159061,0,,4156462,4159571,4159773,3109,187,203,764.0,456.6,540.7,433.9,6.53,224.45084094295567
e159061,0,,4156462,4159866,4159907,3404,205,42,539.9,446.0,444.0,306.2,5.25,169.53126555299468
e159061,0,,4156462,4160121,4160167,3659,220,47,464.6,297.9,180.3,179.5,8.94,307.9692354765326
e159061,0,,4156462,4160861,4160878,4399,264,18,433.7,164.1,472.9,177.9,1.23,41.55815202821222
e159061,0,,4156462,4161990,4162015,5528,332,26,658.2,179.8,599.7,183.5,1.73,58.61689176338165
e159061,0,,4156462,4162615,4162648,6153,369,34,659.7,179.6,550.9,314.6,5.4,173.38523581897053
e159061,0,,4156462,4162823,4162838,6361,382,16,545.8,312.7,537.5,299.5,0.49,15.59262646253026
e159061,0,,4156462,4163474,4163496,7012,421,23,524.1,307.4,464.8,338.2,2.0,66.82162823517548
e159061,0,,4156462,4164081,4164099,7619,457,19,470.2,331.4,497.4,304.9,1.16,37.97486010507477
e159061,0,,4156462,4164494,4164531,8032,482,38,523.8,288.1,591.7,161.3,4.55,143.83549631436608
e159061,0,,4156462,4165145,4165176,8683,521,32,620.9,180.8,594.8,281.8,3.35,104.31783164924394
e159061,0,,4156462,4166193,4166226,9731,584,34,577.2,278.7,579.7,172.3,3.44,106.42936624823055
e159061,0,,4156462,4166998,4167014,10536,632,17,599.4,168.2,604.2,170.5,0.16,5.322593352868572
e159061,0,,4156462,4167423,4167441,10961,658,19,612.0,165.8,634.9,163.9,0.68,22.978685776170902
e159061,0,,4156462,4167822,4168121,11360,681,300,628.6,163.6,625.8,216.4,1.71,52.874190301128976
e159061,0,,4156462,4168861,4168890,12399,744,30,607.4,176.7,574.3,269.4,3.15,98.43221017532827
e159061,0,,4156462,4169619,4169652,13157,789,34,577.6,274.6,670.4,253.7,2.82,95.12439224510184
e159061,0,,4156462,4169833,4169857,13371,802,25,662.2,254.4,582.3,282.0,2.52,84.53265641159051
e159061,0,,4156462,4170609,4170618,14147,848,10,581.9,284.4,586.6,272.0,0.42,13.260844618650799
e159061,0,,4156462,4171173,4171184,14711,882,12,572.1,264.3,554.7,272.6,0.58,19.278226059469254
e159061,0,,4156462,4171878,4171890,15416,925,13,535.5,257.5,561.3,261.4,0.77,26.093102536877392
e159061,0,,4156462,4172632,4172648,16170,970,17,578.8,249.5,598.9,221.2,1.09,34.711669507530196
e159061,0,,4156462,4172835,4172860,16373,982,26,607.4,216.3,615.2,161.0,1.8,55.84738131730083
e159061,0,,4156462,4173079,4173085,16617,997,7,617.6,166.7,612.2,174.4,0.3,9.404786015641186
e159061,0,,4156462,4174449,4174472,17987,1079,24,616.9,173.1,642.9,222.2,1.76,55.55906766676345
e159061,0,,4156462,4174668,4174675,18206,1092,8,639.6,223.1,626.0,219.1,0.42,14.176036117335501
e159061,0,,4156462,4175189,4175194,18727,1123,6,629.4,212.7,639.1,214.2,0.29,9.815294188153551
e159061,0,,4156462,4175607,4175653,19145,1148,47,640.0,214.1,931.0,301.8,8.93,303.9281000499954
e159061,0,,4156462,4175839,4175860,19377,1162,22,924.2,294.8,976.4,318.0,1.67,57.12337525041734
e159061,0,,4156462,4176123,4176353,19661,1179,231,975.2,328.4,1237.0,354.2,7.29,263.0682040840359
e159061,0,,4156462,4176819,4176868,20357,1221,50,1237.0,368.2,1236.9,687.4,9.46,319.20001566416
e159061,0,,4156462,4177323,4177345,20861,1251,23,1225.9,687.5,1170.0,665.1,1.61,60.22100962288833
e159061,0,,4156462,4177759,4177806,21297,1277,48,1164.4,680.6,995.4,407.3,9.46,321.33143325855946
e159061,0,,4156462,4177959,4177984,21497,1289,26,983.5,380.7,965.7,327.0,1.77,56.573226883394206
e159061,0,,4156462,4178349,4178362,21887,1312,14,957.4,318.7,930.0,327.6,0.84,28.809199919470156
e159061,0,,4156462,4178740,4178761,22278,1336,22,926.4,324.8,971.0,327.7,1.28,44.69418306670346
e159061,0,,4156462,4179371,4179412,22909,1374,42,965.6,320.6,1245.0,382.7,7.96,286.2180462514549
e159061,0,,4156462,4179773,4179824,23311,1398,52,1224.7,379.5,1271.5,239.8,4.46,147.33068247992335
e159061,0,,4156462,4179955,4179984,23493,1409,30,1275.5,242.6,1276.6,162.4,2.46,80.20754328615232
e159061,0,,4156462,4180318,4180323,23856,1430,6,1275.6,161.6,1286.0,168.3,0.34,12.371337841963662
e159061,0,,4156462,4180706,4180758,24244,1454,53,1287.1,169.2,845.8,136.3,12.3,442.52468857680697
e159061,0,,4156462,4180925,4181120,24463,1467,196,843.8,148.0,246.4,322.8,18.02,622.4482307790745
e159061,0,,4156462,4181281,4181327,24819,1488,47,245.7,317.0,154.9,393.0,3.47,118.40878345798507
e159061,0,,4156462,4181481,4181507,25019,1500,27,151.3,401.5,148.5,358.6,1.33,42.99127818523192
e159061,0,,4156462,4182192,4182218,25730,1543,27,137.2,363.6,286.9,372.5,4.2,149.96432909195437
e159061,0,,4156462,4182483,4182513,26021,1560,31,283.8,379.2,257.2,314.2,2.18,70.23218635355161
e159061,0,,4156462,4182955,4182968,26493,1588,14,253.6,306.0,226.9,301.0,0.77,27.164130760986986
e159061,0,,4156462,4183210,4183240,26748,1604,31,227.7,300.4,111.1,349.6,3.59,126.55512632841075
e159061,0,,4156462,4183583,4183617,27121,1626,35,115.1,352.4,275.8,288.4,4.91,172.975402875669
e159061,0,,4156462,4183753,4183808,27291,1636,56,262.4,293.1,585.9,179.6,10.04,342.8330497487079
e159061,0,,4156462,4184044,4184050,27582,1654,7,589.3,181.6,576.2,183.4,0.39,13.223085872820976
e159061,0,,4156462,4184566,4184593,28104,1685,28,577.9,185.7,605.6,237.8,1.87,59.00593190519073
e159061,0,,4156462,4184868,4184910,28406,1703,43,597.0,238.9,603.0,445.6,6.61,206.78706439233574
e159061,0,,4156462,4185124,4185151,28662,1719,28,606.0,448.4,614.0,567.4,3.73,119.26860441876563
e159061,0,,4156462,4185407,4185420,28945,1735,14,615.2,562.6,604.8,546.8,0.57,18.915602025841103
e159061,0,,4156462,4185745,4185791,29283,1756,47,600.6,546.1,604.4,384.3,5.1,161.84461683973305
e159061,0,,4156462,4186063,4186307,29601,1775,245,601.8,382.1,591.1,436.8,1.77,55.736702450001445
e159061,0,,4156462,4186646,4186688,30184,1810,43,574.8,356.1,585.9,247.0,3.52,109.66321169836311
e159061,0,,4156462,4186897,4186907,30435,1825,11,571.8,246.3,554.1,232.3,0.69,22.567454442182832
e159061,0,,4156462,4187181,4187200,30719,1842,20,546.0,238.6,554.0,186.4,1.7,52.80946884792536
e159061,0,,4156462,4187706,4187721,31244,1873,16,528.8,183.5,528.0,180.9,0.09,2.72029410174707
e159061,0,,4156462,4187977,4187985,31515,1890,9,558.6,177.8,574.4,183.0,0.49,16.633700730745353
e159061,0,,4156462,4188485,4188514,32023,1920,30,592.3,173.6,547.8,249.5,2.78,87.98329386877944
e159061,0,,4156462,4188934,4188946,32472,1947,13,565.9,250.0,581.7,248.0,0.47,15.92607924129483
e159061,0,,4156462,4189460,4189466,32998,1978,7,576.6,259.2,565.2,258.0,0.34,11.462983904725656
e159061,0,,4156462,4190187,4190210,33725,2022,24,571.1,252.5,608.7,253.2,1.11,37.60651539294756
e159061,0,,4156462,4190391,4190401,33929,2034,11,598.2,252.8,578.6,256.9,0.59,20.024235316236187
e159061,0,,4156462,4191490,4191504,35028,2100,15,584.9,247.7,591.3,221.9,0.85,26.58194876227096
e159061,0,,4156462,4191719,4191735,35257,2114,17,587.9,214.0,589.1,177.3,1.19,36.71961328772403
e159061,0,,4156462,4192030,4192039,35568,2132,10,582.1,167.8,588.2,181.9,0.49,15.36294242650151
e159061,0,,4156462,4192562,4192599,36100,2164,38,594.0,177.2,555.9,290.2,3.81,119.25019916125927
e159061,0,,4156462,4192810,4192828,36348,2179,19,557.1,284.1,535.2,298.2,0.79,26.04649688537785
e159061,0,,4156462,4193021,4193074,36559,2192,54,540.1,301.0,584.7,156.4,4.85,151.32190852616154
e159061,0,,4156462,4193271,4193281,36809,2207,11,584.0,168.0,588.7,185.0,0.57,17.6377436198625
e159061,0,,4156462,4193427,4193696,36965,2216,270,587.7,201.0,598.2,269.9,2.25,69.69548048474877
e159061,0,,4156462,4194006,4194013,37544,2251,8,587.2,196.1,579.4,188.0,0.35,11.24499888839483
e159061,0,,4156462,4195133,4195160,38671,2318,28,583.1,190.3,563.7,270.2,2.64,82.22146921577111
e159061,0,,4156462,4196428,4196447,39966,2396,20,577.7,244.5,605.3,233.4,0.89,29.74844533752974
e159061,0,,4156462,4196971,4196980,40509,2429,10,610.7,235.7,601.0,244.1,0.39,12.831601614763489
e159061,0,,4156462,4197252,4197303,40790,2445,52,609.3,251.0,813.7,442.6,8.55,280.1605254135565
e159061,0,,4156462,4197484,4197512,41022,2459,29,818.3,446.5,791.3,530.4,2.74,88.13744947523723
e159061,0,,4156462,4197977,4198002,41515,2489,26,788.8,514.1,867.4,527.9,2.3,79.80225560721954
e159061,0,,4156462,4198323,4198336,41861,2510,14,861.6,522.3,834.3,504.6,0.96,32.535826407208425
e159061,0,,4156462,4198555,4198581,42093,2524,27,832.0,505.3,756.0,513.9,2.21,76.4850312152646
e159061,0,,4156462,4198834,4198868,42372,2540,35,753.2,526.0,607.7,520.2,4.21,145.6155554877294
e159061,0,,4156462,4199058,4199078,42596,2554,21,611.7,514.0,658.4,517.5,1.36,46.83097265699265
e159061,0,,4156462,4199163,4199447,42701,2560,285,650.8,508.5,625.1,899.6,11.53,391.9434908248892
e159061,0,,4156462,4199629,4199640,43167,2588,12,630.9,666.5,630.4,655.9,0.32,10.611785900591874
e159061,0,,4156462,4199790,4199937,43328,2598,148,627.0,583.0,618.2,520.2,1.96,63.413563217974065
e159061,0,,4156462,4199994,4200004,43532,2610,11,607.3,526.8,611.0,539.4,0.41,13.132021931142244
e159061,0,,4156462,4200358,4200426,43896,2632,69,598.2,524.4,147.8,533.0,12.64,450.4820973135337
e159061,0,,4156462,4200563,4200592,44101,2644,30,163.4,541.6,29.9,540.9,3.58,133.50183519337853
e159061,0,,4156462,4200975,4200981,44513,2669,7,49.1,562.4,62.8,562.9,0.36,13.709121051329289
e159061,0,,4156462,4201275,4201336,44813,2687,62,56.8,574.6,187.6,347.7,7.77,261.90122183754704
e159061,0,,4156462,4201504,4201523,45042,2700,20,179.0,349.5,125.1,340.2,1.52,54.69643498437536
e159061,0,,4156462,4202333,4202360,45871,2750,28,119.6,345.0,269.2,299.1,4.41,156.4831300811688
e159061,0,,4156462,4202735,4203098,46273,2774,364,259.5,303.3,623.5,280.4,10.53,364.71963204631584
e159061,0,,4156462,4203284,4203301,46822,2807,18,616.0,188.6,628.6,180.3,0.46,15.088074761214575
e159061,0,,4156462,4203966,4203973,47504,2848,8,626.1,179.6,629.1,189.4,0.33,10.248902380255176
e159061,0,,4156462,4205391,4205419,48929,2933,29,635.1,176.6,604.5,249.4,2.52,78.9696144095943
e159061,0,,4156462,4206019,4206043,49557,2971,25,617.1,224.5,639.5,176.0,1.7,53.42293514961527
e159061,0,,4156462,4206324,4206329,49862,2989,6,640.0,162.1,640.6,169.8,0.25,7.72334124585987
e159061,0,,4156462,4206976,4207263,50514,3028,288,638.6,172.8,661.7,275.5,3.39,105.26585391284297
e159061,0,,4156462,4207388,4207420,50926,3053,33,641.1,160.6,591.8,253.2,3.33,104.90591022435297
e159061,0,,4156462,4208392,4208423,51930,3113,32,576.1,259.9,620.3,171.0,3.15,99.28167001012821
e159061,0,,4156462,4208684,4208691,52222,3131,8,617.0,169.9,606.8,178.0,0.4,13.024976007655479
e159061,0,,4156462,4210077,4210262,53615,3214,186,632.2,194.9,644.4,245.5,1.67,52.0499759846246
e159061,0,,4156462,4210508,4210537,54046,3240,30,634.5,211.4,573.9,276.8,2.77,89.16008075366466
e159061,0,,4156462,4210718,4210739,54256,3253,22,568.4,273.0,586.6,250.5,0.9,28.93941948277473
e159061,0,,4156462,4211095,4211116,54633,3275,22,562.3,271.1,530.6,292.1,1.15,38.02486028902665
e159061,0,,4156462,4212092,4212109,55630,3335,18,523.1,280.8,528.2,319.4,1.25,38.9354594168349
e159061,0,,4156462,4212383,4212403,55921,3352,21,532.7,313.0,492.0,302.6,1.24,42.0077373825347
e159061,0,,4156462,4212893,4213111,56431,3383,219,489.5,320.1,513.8,406.4,2.84,89.655897742424
e159061,0,,4156462,4213825,4213845,57363,3439,21,493.6,335.2,519.8,310.6,1.1,35.93883693165368
e159061,0,,4156462,4214653,4214672,58191,3488,20,543.3,275.3,538.3,237.1,1.24,38.525835487371346
e159061,0,,4156462,4215004,4215033,58542,3510,30,558.8,221.6,623.0,163.9,2.66,86.31876968539348
e159061,0,,4156462,4215421,4215449,58959,3535,29,639.5,163.8,575.4,241.9,3.15,101.03672599604563
e159061,0,,4156462,4215967,4215989,59505,3567,23,573.1,237.5,602.5,228.2,0.92,30.83585575267855
e159061,0,,4156462,4216401,4216424,59939,3593,24,580.6,220.2,596.7,162.0,1.94,60.38584271168202
e159061,0,,4156462,4217441,4217459,60979,3656,19,643.8,158.3,650.5,157.9,0.2,6.711929677819979
e159061,0,,4156462,4217834,4217995,61372,3679,162,651.0,163.9,675.4,193.2,1.19,38.12938499372889
e159061,0,,4156462,4218126,4218145,61664,3697,20,664.0,168.2,641.6,190.3,0.97,31.466966806478187
e159061,0,,4156462,4218408,4218423,61946,3714,16,643.0,181.5,628.3,208.9,0.99,31.094211679989602
e159061,0,,4156462,4218907,4218925,62445,3743,19,629.5,211.4,648.0,173.6,1.34,42.08432012044392
e159061,0,,4156462,4219801,4219826,63339,3797,26,635.3,170.0,673.8,168.0,1.14,38.55191305240247
e159061,0,,4156462,4220469,4220488,64007,3837,20,643.2,150.1,646.5,158.1,0.28,8.653900854527956
