subject,trial,movie,frame_start_ms,start_time_ms,end_time_ms,ms_video,calc_frame,duration_ms,x_px,y_px
e159096,0,,1221909,1221880,1222223,-29,-1,344,641.0,359.4
e159096,0,,1221909,1222246,1222708,337,21,463,636.4,421.5
e159096,0,,1221909,1222743,1223966,834,50,1224,462.1,450.8
e159096,0,,1221909,1224010,1224426,2101,126,417,760.1,410.4
e159096,0,,1221909,1224462,1225784,2553,154,1323,547.0,427.2
e159096,0,,1221909,1225855,1225901,3946,237,47,-31.5,373.4
e159096,0,,1221909,1225921,1226323,4012,241,403,0.7,445.8
e159096,0,,1221909,1226374,1226603,4465,268,230,435.1,499.7
e159096,0,,1221909,1226659,1227533,4750,285,875,866.7,444.6
e159096,0,,1221909,1227578,1228179,5669,340,602,526.9,455.1
e159096,0,,1221909,1228206,1228941,6297,378,736,644.9,428.4
e159096,0,,1221909,1229031,1229913,7122,427,883,226.1,230.1
e159096,0,,1221909,1229957,1230234,8048,483,278,617.1,449.7
e159096,0,,1221909,1230295,1230487,8386,503,193,611.0,273.9
e159096,0,,1221909,1230531,1230864,8622,517,334,950.7,348.3
e159096,0,,1221909,1230891,1231133,8982,539,243,871.0,376.6
e159096,0,,1221909,1231163,1231185,9254,555,23,841.1,271.4
e159096,0,,1221909,1231292,1231318,9383,563,27,827.4,257.7
e159096,0,,1221909,1231328,1232409,9419,565,1082,864.5,268.1
e159096,0,,1221909,1232433,1232725,10524,631,293,924.3,211.0
e159096,0,,1221909,1232734,1233284,10825,649,551,897.0,227.0
e159096,0,,1221909,1233315,1233598,11406,684,284,892.6,346.7
e159096,0,,1221909,1233608,1233898,11699,702,291,847.4,360.3
e159096,0,,1221909,1233946,1234830,12037,722,885,687.7,609.8
e159096,0,,1221909,1234859,1235208,12950,777,350,817.9,622.1
e159096,0,,1221909,1235243,1235685,13334,800,443,723.9,635.4
e159096,0,,1221909,1235708,1236233,13799,828,526,749.9,663.5
e159096,0,,1221909,1236264,1236312,14355,861,49,746.3,630.9
e159096,0,,1221909,1236325,1236400,14416,865,76,760.5,604.7
e159096,0,,1221909,1236431,1236884,14522,871,454,886.6,508.5
e159096,0,,1221909,1236910,1236949,15001,900,40,777.9,420.2
e159096,0,,1221909,1236959,1237354,15050,903,396,720.5,408.7
e159096,0,,1221909,1237391,1237424,15482,928,34,694.6,422.7
e159096,0,,1221909,1237474,1241644,15565,933,4171,688.3,394.6
e159096,0,,1221909,1241701,1241814,19792,1187,114,715.1,300.9
e159096,0,,1221909,1241835,1242100,19926,1195,266,703.2,250.4
e159096,0,,1221909,1242117,1242551,20208,1212,435,693.2,258.8
e159096,0,,1221909,1242578,1242935,20669,1239,358,662.1,371.3
e159096,0,,1221909,1242962,1243593,21053,1262,632,683.4,258.6
e159096,0,,1221909,1243616,1243858,21707,1302,243,722.0,311.6
e159096,0,,1221909,1243881,1244339,21972,1318,459,704.2,240.7
e159096,0,,1221909,1244358,1245780,22449,1346,1423,702.4,234.9
e159096,0,,1221909,1245800,1247301,23891,1433,1502,688.5,244.4
e159096,0,,1221909,1247322,1247564,25413,1524,243,806.4,274.2
e159096,0,,1221909,1247585,1248171,25676,1540,587,888.8,227.0
e159096,0,,1221909,1248207,1248898,26298,1577,692,882.9,436.9
e159096,0,,1221909,1248920,1250969,27011,1620,2050,784.4,462.9
e159096,0,,1221909,1250992,1251937,29083,1744,946,819.9,407.2
e159096,0,,1221909,1251960,1253540,30051,1802,1581,745.6,397.2
e159096,0,,1221909,1253565,1253887,31656,1898,323,685.9,435.7
e159096,0,,1221909,1254014,1254134,32105,1925,121,535.3,463.7
e159096,0,,1221909,1254163,1254203,32254,1934,41,653.4,472.5
e159096,0,,1221909,1254220,1254271,32311,1937,52,668.4,491.4
e159096,0,,1221909,1254280,1254372,32371,1941,93,669.0,490.7
e159096,0,,1221909,1254470,1254527,32561,1952,58,670.3,492.9
e159096,0,,1221909,1254549,1254981,32640,1957,433,669.1,495.0
