movie,frame,mean_isc,n_subjects
1.2.3.mp4,20,0.5834064255019717,83
1.2.3.mp4,80,0.18660558943064456,83
1.2.3.mp4,140,0.1941185486900461,82
1.2.3.mp4,200,0.235035139062192,82
1.2.3.mp4,260,0.3864749177733845,82
1.2.3.mp4,320,0.21353943966022587,79
1.2.3.mp4,380,0.3087493708139629,84
1.2.3.mp4,440,0.5394234338008306,85
1.2.3.mp4,500,0.4836027999522119,82
1.2.3.mp4,560,0.527004982041979,79
1.2.3.mp4,620,0.4910797066811938,81
1.2.3.mp4,680,0.4405812855244681,85
1.2.3.mp4,740,0.40116761244451166,81
1.2.3.mp4,800,0.3549759094336268,79
1.2.3.mp4,860,0.499920464386471,79
1.2.3.mp4,920,0.5260576483194234,81
1.2.3.mp4,980,0.5214678577450989,80
1.2.3.mp4,1040,0.6463840833021095,80
1.2.3.mp4,1100,0.5499307879148737,78
1.2.3.mp4,1160,0.5122870687995792,76
1.2.3.mp4,1220,0.4472627442121034,76
1.2.3.mp4,1280,0.3919004682905359,79
1.2.3.mp4,1340,0.38113467457095307,78
1.2.3.mp4,1400,0.45494779005231384,74
1.2.3.mp4,1460,0.41673178383830534,79
1.2.3.mp4,1520,0.4480246695502383,79
1.2.3.mp4,1580,0.38364394183445255,81
1.2.3.mp4,1640,0.48862518766545693,80
1.2.3.mp4,1700,0.49121194623397946,73
1.2.3.mp4,1760,0.49470673087839184,77
1.2.3.mp4,1820,0.47116063835535527,79
1.2.3.mp4,1880,0.5473138184185163,78
1.2.3.mp4,1940,0.49899587664396294,77
1.2.3.mp4,2000,0.4865757276327062,81
1.2.3.mp4,2060,0.5766363435795006,78
1.2.3.mp4,2120,0.6669019914518756,79
1.2.3.mp4,2180,0.6381919244901301,78
1.2.3.mp4,2240,0.5262710374263406,82
1.2.3.mp4,2300,0.4782313629440576,78
1.2.3.mp4,2360,0.528403578302823,81
1.2.3.mp4,2420,0.44763309221089004,80
1.2.3.mp4,2480,0.4070435910298211,77
1.2.3.mp4,2540,0.41214082641599814,81
1.2.3.mp4,2600,0.4012415168875056,82
1.2.3.mp4,2660,0.4229878005790887,79
1.2.3.mp4,2720,0.43061260828294623,80
1.2.3.mp4,2780,0.4014646086914581,82
1.2.3.mp4,2840,0.4262114751409405,81
1.2.3.mp4,2900,0.46816549351056796,79
1.2.3.mp4,2960,0.4648908415417138,76
1.2.3.mp4,3020,0.4581131257965401,76
1.2.3.mp4,3080,0.39227139682916456,80
1.2.3.mp4,3140,0.4043383324177315,76
1.2.3.mp4,3200,0.49827465423060435,78
1.2.3.mp4,3260,0.4228512441347304,76
1.2.3.mp4,3320,0.6054009623542617,79
1.2.3.mp4,3380,0.6320814618972154,78
1.2.3.mp4,3440,0.5651575824941355,81
1.2.3.mp4,3500,0.5674647284653981,79
1.2.3.mp4,3560,0.536084080673981,77
1.2.3.mp4,3620,0.47565645758133335,79
1.2.3.mp4,3680,0.5924458651779554,79
1.2.3.mp4,3740,0.5932195680368937,78
1.2.3.mp4,3800,0.633495575546189,76
1.2.3.mp4,3860,0.5342493481861311,80
1.2.3.mp4,3920,0.5284088232269584,76
1.2.3.mp4,3980,0.5844829562543468,77
1.2.3.mp4,4040,0.6563714835735992,82
1.2.3.mp4,4100,0.6456468069248971,81
1.2.3.mp4,4160,0.6443442863090263,82
1.2.3.mp4,4220,0.6344525318687098,79
1.2.3.mp4,4280,0.5602320509953896,79
1.2.3.mp4,4340,0.5670491170875922,77
1.2.3.mp4,4400,0.5528527775502486,75
1.2.3.mp4,4460,0.47343284283069115,79
1.2.3.mp4,4520,0.5303573834071694,81
1.2.3.mp4,4580,0.5564325120813476,78
1.2.3.mp4,4640,0.48496935014751413,74
1.2.3.mp4,4700,0.41039510088441417,78
1.2.3.mp4,4760,0.4561712679717069,75
1.2.3.mp4,4820,0.4768371923874395,79
1.2.3.mp4,4880,0.3034825826971195,78
1.2.3.mp4,4940,0.3572709938744083,76
1.2.3.mp4,5000,0.6131256059093353,78
1.2.3.mp4,5060,0.47318404874634706,79
1.2.3.mp4,5120,0.5351369887148627,78
1.2.3.mp4,5180,0.5993640065764938,80
1.2.3.mp4,5240,0.545104059735658,82
1.2.3.mp4,5300,0.37447588659032544,76
1.2.3.mp4,5360,0.5719885324448114,80
1.2.3.mp4,5420,0.3556963157025166,80
1.2.3.mp4,5480,0.38665752825442196,81
1.2.3.mp4,5540,0.39258177251031157,80
1.2.3.mp4,5600,0.655514749858412,81
1.2.3.mp4,5660,0.5712672925935721,83
1.2.3.mp4,5720,0.38246056196998945,79
