movie,frame,semantic_L2,semantic_cosine,gaze_entropy,gaze_change,gaze_center_shift,mean_isc,n_subjects.x,mean_isc_sm,n_subjects.y,gaze_similarity_per_frame,fix_dur_sm,sacc_dur_sm,sacc_amp_px_sm,sacc_amp_deg_sm,sem_pe,sem_uncertainty,seg_prob_coarse,seg_prob_fine
1.2.3,80,0.5043954,0.0010099411,7.0634785261193205,0.03997372937908027,43.104524124504614,0.18660558943064456,83,0.34848094336679125,87,-0.28182539558783454,268.39918256571303,60.90845185242403,111.57512747315225,3.3656025074782816,NA,NA,0.009527962349905408,0.009711657688731147
1.2.3,140,1.6441839,0.010735154,6.871507464890225,0.03607260721630857,1,0.1941185486900461,82,0.21332499962555393,87,-1.487413962127092,266.85322799569093,63.371518024359034,118.45704859114872,3.5319429719776587,NA,NA,0.015586687759094192,0.013344316783419907
1.2.3,200,1.9872105,0.015131593,6.453093615508895,0.06822446826093972,15.620499351813308,0.235035139062192,82,0.31217684059412787,87,-0.8704749200661195,259.58456489519983,85.37781649181763,128.4882692138224,3.772332074127889,NA,NA,0.02206202536794076,0.017713894127981314
1.2.3,260,0.8445123,0.0028309226,6.876317993519048,0.0704545566769908,22.09072203437452,0.3864749177733845,82,0.43579581272999823,87,-0.5053995568984672,271.4137469415601,97.0853197868384,153.97413770805633,4.485593717673778,NA,NA,0.027066029531494427,0.022980820548693288
1.2.3,320,0.4366958,7.522106e-4,6.491747571950143,0.05000518955018814,16.64331697709324,0.21353943966022587,79,0.2465905959104337,87,-0.9104764293263699,313.239114921193,78.64568925976644,215.88207473115335,6.2706663841906325,0,0.0010729970907934101,0.029677786332766,0.03004455150968506
1.2.3,380,0.69720465,0.0018402338,5.615429362882876,0.07205096071796872,5.385164807134504,0.3087493708139629,84,0.30021910966916643,87,-0.48189177155010154,333.6071825069584,61.86103300119069,224.34627303800949,6.517797258699381,0.5998514808994405,0.001276502795728807,0.030114404222900192,0.03919749797176744
1.2.3,440,0.7214787,0.0021438003,5.7678764256429345,0.10106631021774834,19.209372712298546,0.5394234338008306,85,0.5035051814838915,87,0.3233667940751413,315.16214841095837,62.92633488439012,201.4100713768423,5.86491715635824,0.7921046302584456,0.001349725466624702,0.029007205316646002,0.0484111781319908
1.2.3,500,0.81557536,0.0028277636,5.741125500042259,0.0513453313824577,10.44030650891055,0.4836027999522119,82,0.4967597600425096,87,0.648263602542264,294.1961039280952,74.82126144291773,183.38026466361936,5.397319596018152,0.7404792585862948,0.0014455425931041005,0.02659083886277506,0.05355215063771947
1.2.3,560,0.7459934,0.0022569299,5.75795094656552,0.04737505787639513,10,0.527004982041979,79,0.5469031145104374,87,0.6670407919750535,294.26695238712193,87.5535877929418,184.56986804630978,5.439593212838366,0.6133180564106194,0.0014632157102737009,0.022874220269554692,0.05114801027423737
1.2.3,620,0.96213734,0.0039132833,6.100682320563637,0.04408801622694296,8.06225774829855,0.4910797066811938,81,0.49612601748967233,87,0.57538363468907,285.1686269182857,81.05345456864582,220.75142145352905,6.490844613591755,0.5721340315755628,0.0014749901803195816,0.01832851933396447,0.04152566444740046
1.2.3,680,0.8570654,0.0030509233,6.283154116620465,0.0360048262173276,1.4142135623730951,0.4405812855244681,85,0.4528197227792123,87,0.3441828784134389,270.0885440194266,101.0404499263514,241.43565489517698,7.145220360807193,0.5927991935971316,0.0014653508319893557,0.01393830969398721,0.028807588666060528
1.2.3,740,1.0497334,0.0045904517,6.403189334387462,0.0384710949781353,2.23606797749979,0.40116761244451166,81,0.4135498672181801,87,-0.1903456171578159,264.09205444080243,112.1250689737965,208.41727536675336,6.214831321370493,0.5995285351892108,0.001396277459547307,0.01055326776903131,0.018014486150804532
1.2.3,800,0.7464687,0.0023692846,5.927284141227937,0.04206260431516606,1.4142135623730951,0.3549759094336268,79,0.3848381753743066,87,-0.4500904112265447,267.6999770975337,76.67228830240258,143.83285321687765,4.293181721340476,0.6214106970478599,0.0013048091302523654,0.008330460032503565,0.012245574785978203
1.2.3,860,1.0478586,0.004578948,5.802506897143986,0.03000052821036324,1,0.499920464386471,79,0.4694078792604009,87,-0.2451292615997974,281.6814181040488,70.68062331910491,126.12135794184164,3.7232425614465825,0.6022656821688889,0.0012707657673521576,0.006859573463777252,0.011738994872341226
1.2.3,920,1.252929,0.0068514347,5.749615998283295,0.09277500352032989,8.54400374531753,0.5260576483194234,81,0.5289023531696107,87,0.03927457424294773,312.0073229190218,68.31169337097295,103.9000961762781,3.098975770563245,0.5928580162617036,0.0013450057145606908,0.00569749794516336,0.014731181802031933
1.2.3,980,1.1604259,0.005836487,5.467227829093982,0.05256834679869399,1,0.5214678577450989,80,0.5684578027916596,87,0.29775820839997375,356.3941828702409,72.28194501457163,108.87092978712536,3.266813205146516,0.582115939770411,0.0015764821334655042,0.004611220656687366,0.01859122735664211
1.2.3,1040,0.84998983,0.0032108426,5.611094028352331,0.05930163768181509,1.4142135623730951,0.6463840833021095,80,0.6527437315611669,87,0.6350266565538727,368.3418290530162,66.93068504473445,129.63322193820903,3.877362105591005,0.524361626344601,0.0016949401847399822,0.00352466079292061,0.02101901744497861
1.2.3,1100,1.1223702,0.0051567554,5.781304707499627,0.03106100181842516,6.082762530298219,0.5499307879148737,78,0.5439619908454721,87,0.6005215340873548,359.94578825407564,71.90677211645158,152.59047230071644,4.554095917920648,0.4637917411927943,0.0015586437663744485,0.002457075891167851,0.021012093273914005
1.2.3,1160,0.9965882,0.004068017,6.155504216087195,0.04376735645047407,3,0.5122870687995792,76,0.5088981157017569,87,0.3692756546526912,316.9251909404609,79.0030376474389,184.8548910391181,5.499221078507696,0.46723241216064615,0.0014284875778739728,0.0015084278348224485,0.018919465867212003
1.2.3,1220,0.98812705,0.003919184,6.2926834796315045,0.03528731193983032,8.06225774829855,0.4472627442121034,76,0.43703751319531053,87,-0.21256850008657055,293.73283108088026,74.05766026978131,190.43645910465614,5.664002955791569,0.48841629654546104,0.0013083349520472886,7.926737980886942e-4,0.015799942042800712
1.2.3,1280,0.954545,0.0035867095,6.281092395712505,0.02969012195506061,2,0.3919004682905359,79,0.4042478944647,87,-0.42543752535933155,298.6553244179793,69.13026088779581,163.61280433590943,4.892475294117151,0.47065225290740537,0.0013056716807075034,3.478837709114382e-4,0.012689333945541607
1.2.3,1340,1.2713745,0.00695765,5.914280608197663,0.05824698031404409,4,0.381134674570953,78,0.40378955883054896,87,-0.3371223161866151,344.32636145677213,79.98269178825414,133.69684141905063,4.031690616502648,0.47464967132008873,0.0013073907330731424,1.253502714220766e-4,0.01030245461947838
