movie,frame,semantic_L2,semantic_cosine,gaze_entropy,gaze_change,gaze_center_shift
1.2.3,80,0.5043954,0.0010099411,7.0634785261193205,0.03997372937908027,43.104524124504614
1.2.3,140,1.6441839,0.010735154,6.871507464890225,0.03607260721630857,1.0
1.2.3,200,1.9872105,0.015131593,6.453093615508895,0.06822446826093972,15.620499351813308
1.2.3,260,0.8445123,0.0028309226,6.876317993519048,0.0704545566769908,22.090722034374522
1.2.3,320,0.4366958,0.0007522106,6.491747571950143,0.05000518955018814,16.64331697709324
1.2.3,380,0.69720465,0.0018402338,5.615429362882876,0.07205096071796872,5.385164807134504
1.2.3,440,0.7214787,0.0021438003,5.7678764256429345,0.10106631021774834,19.209372712298546
1.2.3,500,0.81557536,0.0028277636,5.741125500042259,0.0513453313824577,10.44030650891055
1.2.3,560,0.7459934,0.0022569299,5.75795094656552,0.04737505787639513,10.0
1.2.3,620,0.96213734,0.0039132833,6.100682320563637,0.04408801622694296,8.06225774829855
1.2.3,680,0.8570654,0.0030509233,6.283154116620465,0.036004826217327604,1.4142135623730951
1.2.3,740,1.0497334,0.0045904517,6.403189334387462,0.038471094978135306,2.23606797749979
1.2.3,800,0.7464687,0.0023692846,5.927284141227937,0.04206260431516606,1.4142135623730951
1.2.3,860,1.0478586,0.004578948,5.802506897143986,0.030000528210363243,1.0
1.2.3,920,1.252929,0.0068514347,5.749615998283295,0.09277500352032989,8.54400374531753
1.2.3,980,1.1604259,0.005836487,5.467227829093982,0.052568346798693995,1.0
1.2.3,1040,0.84998983,0.0032108426,5.611094028352331,0.059301637681815095,1.4142135623730951
1.2.3,1100,1.1223702,0.0051567554,5.781304707499627,0.031061001818425166,6.082762530298219
1.2.3,1160,0.9965882,0.004068017,6.155504216087195,0.04376735645047407,3.0
1.2.3,1220,0.98812705,0.003919184,6.2926834796315045,0.035287311939830326,8.06225774829855
1.2.3,1280,0.954545,0.0035867095,6.281092395712505,0.029690121955060614,2.0
1.2.3,1340,1.2713745,0.00695765,5.914280608197663,0.05824698031404409,4.0
1.2.3,1400,0.98429495,0.003951311,6.278881327167227,0.03813967936793131,2.23606797749979
1.2.3,1460,0.7094819,0.002038002,6.140307970835632,0.030412780114913083,2.23606797749979
1.2.3,1520,0.85828316,0.0030328035,6.325495890422537,0.03224869237877504,2.8284271247461903
1.2.3,1580,1.004896,0.004152715,5.990641755493723,0.03588153785648602,4.47213595499958
1.2.3,1640,1.2727978,0.0063487887,5.998728265126858,0.029591589491529367,2.23606797749979
1.2.3,1700,0.86797494,0.0030679703,5.897153078460067,0.0353278827655071,3.0
1.2.3,1760,0.9770976,0.0039850473,5.9807212894463,0.030967932008814952,5.0
1.2.3,1820,0.70626307,0.002099514,5.727468075955236,0.046750629563205956,8.06225774829855
1.2.3,1880,0.686741,0.0019631386,5.948988622285558,0.03401147123595018,1.4142135623730951
1.2.3,1940,0.9416443,0.0037541986,6.012505026775255,0.02576785327621781,1.0
1.2.3,2000,0.9368774,0.0036866665,5.676717921502191,0.03337820448853201,0.0
1.2.3,2060,1.3945637,0.00809294,5.360523743661461,0.1004384541528583,7.280109889280518
1.2.3,2120,1.1934972,0.0059651136,5.509470995264292,0.0378570946253668,1.0
1.2.3,2180,0.9699415,0.004010439,5.6702053674504524,0.049478607803101704,1.4142135623730951
1.2.3,2240,0.81695825,0.002798736,5.997032429614907,0.054405051499574274,7.280109889280518
1.2.3,2300,0.8209951,0.0027777553,5.750852851816368,0.03001360565297284,1.0
1.2.3,2360,1.084546,0.0050491095,6.07367119993743,0.0558203892068262,4.242640687119285
1.2.3,2420,1.5803151,0.010657549,6.162904078972725,0.030061840188753467,2.8284271247461903
1.2.3,2480,0.9653441,0.0039820075,6.250247177100981,0.028262480103588516,8.06225774829855
